"","msa.fips","year","net.earnings.by.place.of.residence"
"new.row.14851","47020",1992,967653
"new.row.14852","47020",1993,1013173
"new.row.14853","47020",1994,1081635
"new.row.14854","47020",1995,1133041
"new.row.14855","47020",1996,1203775
"new.row.14856","47020",1997,1259358
"new.row.14857","47020",1998,1390115
"new.row.14858","47020",1999,1449306
"new.row.14859","47020",2000,1614068
"new.row.14860","47020",2001,1632436
"new.row.14861","47020",2002,1654681
"new.row.14862","47020",2003,1711290
"new.row.14863","47020",2004,1817785
"new.row.14864","47020",2005,1935842
"new.row.14865","47020",2006,2124185
"new.row.14866","47020",2007,2164762
"new.row.14867","47020",2008,2367293
"new.row.14868","47020",2009,2170871
"new.row.14869","47020",2010,2294212
"new.row.14870","47020",2011,2543386
"new.row.14871","47020",2012,2785902
"new.row.14872","47380",1969,383338
"new.row.14873","47380",1970,407914
"new.row.14874","47380",1971,437621
"new.row.14875","47380",1972,484260
"new.row.14876","47380",1973,548223
"new.row.14877","47380",1974,574766
"new.row.14878","47380",1975,630231
"new.row.14879","47380",1976,723987
"new.row.14880","47380",1977,778672
"new.row.14881","47380",1978,891333
"new.row.14882","47380",1979,989585
"new.row.14883","47380",1980,1085447
"new.row.14884","47380",1981,1196136
"new.row.14885","47380",1982,1270951
"new.row.14886","47380",1983,1392232
"new.row.14887","47380",1984,1535752
"new.row.14888","47380",1985,1620841
"new.row.14889","47380",1986,1650630
"new.row.14890","47380",1987,1626403
"new.row.14891","47380",1988,1706345
"new.row.14892","47380",1989,1765149
"new.row.14893","47380",1990,1888997
"new.row.14894","47380",1991,2015931
"new.row.14895","47380",1992,2151804
"new.row.14896","47380",1993,2324642
"new.row.14897","47380",1994,2518406
"new.row.14898","47380",1995,2690144
"new.row.14899","47380",1996,2791500
"new.row.14900","47380",1997,3016167
"new.row.14901","47380",1998,3208795
"new.row.14902","47380",1999,3444366
"new.row.14903","47380",2000,3538306
"new.row.14904","47380",2001,3536478
"new.row.14905","47380",2002,3673907
"new.row.14906","47380",2003,3912491
"new.row.14907","47380",2004,4079781
"new.row.14908","47380",2005,4264118
"new.row.14909","47380",2006,4485736
"new.row.14910","47380",2007,4636329
"new.row.14911","47380",2008,4760842
"new.row.14912","47380",2009,4867542
"new.row.14913","47380",2010,5169203
"new.row.14914","47380",2011,5279285
"new.row.14915","47380",2012,5495956
"new.row.14916","48660",1969,421814
"new.row.14917","48660",1970,420626
"new.row.14918","48660",1971,472733
"new.row.14919","48660",1972,490904
"new.row.14920","48660",1973,538791
"new.row.14921","48660",1974,603553
"new.row.14922","48660",1975,638492
"new.row.14923","48660",1976,716423
"new.row.14924","48660",1977,760189
"new.row.14925","48660",1978,851754
"new.row.14926","48660",1979,952677
"new.row.14927","48660",1980,1030767
"new.row.14928","48660",1981,1197507
"new.row.14929","48660",1982,1229993
"new.row.14930","48660",1983,1249785
"new.row.14931","48660",1984,1332955
"new.row.14932","48660",1985,1352954
"new.row.14933","48660",1986,1341213
"new.row.14934","48660",1987,1339344
"new.row.14935","48660",1988,1388292
"new.row.14936","48660",1989,1440300
"new.row.14937","48660",1990,1510724
"new.row.14938","48660",1991,1466381
"new.row.14939","48660",1992,1551768
"new.row.14940","48660",1993,1642313
"new.row.14941","48660",1994,1710450
"new.row.14942","48660",1995,1825592
"new.row.14943","48660",1996,1910546
"new.row.14944","48660",1997,2072078
"new.row.14945","48660",1998,2174744
"new.row.14946","48660",1999,2273768
"new.row.14947","48660",2000,2383828
"new.row.14948","48660",2001,2571925
"new.row.14949","48660",2002,2647251
"new.row.14950","48660",2003,2792475
"new.row.14951","48660",2004,2884210
"new.row.14952","48660",2005,2982916
"new.row.14953","48660",2006,3251774
"new.row.14954","48660",2007,3226218
"new.row.14955","48660",2008,3733821
"new.row.14956","48660",2009,3130147
"new.row.14957","48660",2010,3285573
"new.row.14958","48660",2011,3618337
"new.row.14959","48660",2012,3757797
"new.row.14960","36260",1969,683809
"new.row.14961","36260",1970,744806
"new.row.14962","36260",1971,837693
"new.row.14963","36260",1972,894564
"new.row.14964","36260",1973,961194
"new.row.14965","36260",1974,1058239
"new.row.14966","36260",1975,1152271
"new.row.14967","36260",1976,1299471
"new.row.14968","36260",1977,1441644
"new.row.14969","36260",1978,1647661
"new.row.14970","36260",1979,1846266
"new.row.14971","36260",1980,2041410
"new.row.14972","36260",1981,2250609
"new.row.14973","36260",1982,2415057
"new.row.14974","36260",1983,2592380
"new.row.14975","36260",1984,2876364
"new.row.14976","36260",1985,3144635
"new.row.14977","36260",1986,3323056
"new.row.14978","36260",1987,3464064
"new.row.14979","36260",1988,3682145
"new.row.14980","36260",1989,3927608
"new.row.14981","36260",1990,4306430
"new.row.14982","36260",1991,4566452
"new.row.14983","36260",1992,4944208
"new.row.14984","36260",1993,5274514
"new.row.14985","36260",1994,5605563
"new.row.14986","36260",1995,6011754
"new.row.14987","36260",1996,6493584
"new.row.14988","36260",1997,7055386
"new.row.14989","36260",1998,7601627
"new.row.14990","36260",1999,8080189
"new.row.14991","36260",2000,8619513
"new.row.14992","36260",2001,9149319
"new.row.14993","36260",2002,9550111
"new.row.14994","36260",2003,9857072
"new.row.14995","36260",2004,10549130
"new.row.14996","36260",2005,11197873
"new.row.14997","36260",2006,12410694
"new.row.14998","36260",2007,13268340
"new.row.14999","36260",2008,13632671
"new.row.15000","36260",2009,13474749
"new.row.15001","36260",2010,13703588
"new.row.15002","36260",2011,14614984
"new.row.15003","36260",2012,15379698
"new.row.15004","39340",1969,290656
"new.row.15005","39340",1970,312010
"new.row.15006","39340",1971,341441
"new.row.15007","39340",1972,397099
"new.row.15008","39340",1973,457580
"new.row.15009","39340",1974,507843
"new.row.15010","39340",1975,554406
"new.row.15011","39340",1976,655775
"new.row.15012","39340",1977,764571
"new.row.15013","39340",1978,880239
"new.row.15014","39340",1979,1007388
"new.row.15015","39340",1980,1093899
"new.row.15016","39340",1981,1204458
"new.row.15017","39340",1982,1219507
"new.row.15018","39340",1983,1285975
"new.row.15019","39340",1984,1438992
"new.row.15020","39340",1985,1538293
"new.row.15021","39340",1986,1614858
"new.row.15022","39340",1987,1676263
"new.row.15023","39340",1988,1880968
"new.row.15024","39340",1989,2053874
"new.row.15025","39340",1990,2322543
"new.row.15026","39340",1991,2570231
"new.row.15027","39340",1992,2820670
"new.row.15028","39340",1993,3053192
"new.row.15029","39340",1994,3371265
"new.row.15030","39340",1995,3714830
"new.row.15031","39340",1996,4083176
"new.row.15032","39340",1997,4368836
"new.row.15033","39340",1998,4905322
"new.row.15034","39340",1999,5303164
"new.row.15035","39340",2000,5732460
"new.row.15036","39340",2001,5948299
"new.row.15037","39340",2002,6199490
"new.row.15038","39340",2003,6499524
"new.row.15039","39340",2004,7033477
"new.row.15040","39340",2005,7587369
"new.row.15041","39340",2006,8556665
"new.row.15042","39340",2007,9353674
"new.row.15043","39340",2008,9594612
"new.row.15044","39340",2009,9175941
"new.row.15045","39340",2010,9322128
"new.row.15046","39340",2011,10037745
"new.row.15047","39340",2012,10750038
"new.row.15048","41100",1969,24104
"new.row.15049","41100",1970,28659
"new.row.15050","41100",1971,30947
"new.row.15051","41100",1972,35543
"new.row.15052","41100",1973,40850
"new.row.15053","41100",1974,42991
"new.row.15054","41100",1975,48290
"new.row.15055","41100",1976,58774
"new.row.15056","41100",1977,68049
"new.row.15057","41100",1978,80885
"new.row.15058","41100",1979,97393
"new.row.15059","41100",1980,105177
"new.row.15060","41100",1981,109568
"new.row.15061","41100",1982,114898
"new.row.15062","41100",1983,130225
"new.row.15063","41100",1984,164010
"new.row.15064","41100",1985,192451
"new.row.15065","41100",1986,222374
"new.row.15066","41100",1987,240817
"new.row.15067","41100",1988,260174
"new.row.15068","41100",1989,286140
"new.row.15069","41100",1990,345390
"new.row.15070","41100",1991,398875
"new.row.15071","41100",1992,442726
"new.row.15072","41100",1993,519194
"new.row.15073","41100",1994,623778
"new.row.15074","41100",1995,689785
"new.row.15075","41100",1996,766076
"new.row.15076","41100",1997,825889
"new.row.15077","41100",1998,913991
"new.row.15078","41100",1999,991719
"new.row.15079","41100",2000,1044306
"new.row.15080","41100",2001,1143609
"new.row.15081","41100",2002,1237982
"new.row.15082","41100",2003,1320055
"new.row.15083","41100",2004,1491611
"new.row.15084","41100",2005,1719483
"new.row.15085","41100",2006,2016018
"new.row.15086","41100",2007,2125665
"new.row.15087","41100",2008,2085430
"new.row.15088","41100",2009,1965211
"new.row.15089","41100",2010,1916683
"new.row.15090","41100",2011,2016925
"new.row.15091","41100",2012,2117442
"new.row.15092","41620",1969,1319124
"new.row.15093","41620",1970,1466014
"new.row.15094","41620",1971,1618798
"new.row.15095","41620",1972,1802801
"new.row.15096","41620",1973,1997106
"new.row.15097","41620",1974,2242767
"new.row.15098","41620",1975,2476874
"new.row.15099","41620",1976,2809196
"new.row.15100","41620",1977,3208241
"new.row.15101","41620",1978,3685055
"new.row.15102","41620",1979,4113315
"new.row.15103","41620",1980,4530740
"new.row.15104","41620",1981,5007921
"new.row.15105","41620",1982,5329849
"new.row.15106","41620",1983,5703874
"new.row.15107","41620",1984,6296633
"new.row.15108","41620",1985,6684895
"new.row.15109","41620",1986,6979513
"new.row.15110","41620",1987,7326399
"new.row.15111","41620",1988,7745351
"new.row.15112","41620",1989,8209602
"new.row.15113","41620",1990,8812940
"new.row.15114","41620",1991,9413908
"new.row.15115","41620",1992,10230530
"new.row.15116","41620",1993,11045791
"new.row.15117","41620",1994,12014572
"new.row.15118","41620",1995,12987670
"new.row.15119","41620",1996,14131605
"new.row.15120","41620",1997,15455859
"new.row.15121","41620",1998,16753981
"new.row.15122","41620",1999,18275799
"new.row.15123","41620",2000,19833198
"new.row.15124","41620",2001,20981113
"new.row.15125","41620",2002,21039311
"new.row.15126","41620",2003,21121394
"new.row.15127","41620",2004,22489637
"new.row.15128","41620",2005,24229346
"new.row.15129","41620",2006,27040155
"new.row.15130","41620",2007,28968598
"new.row.15131","41620",2008,29389174
"new.row.15132","41620",2009,28157622
"new.row.15133","41620",2010,28625297
"new.row.15134","41620",2011,30326024
"new.row.15135","41620",2012,32095684
"new.row.15136","15540",1969,361412
"new.row.15137","15540",1970,397942
"new.row.15138","15540",1971,420938
"new.row.15139","15540",1972,455113
"new.row.15140","15540",1973,484768
"new.row.15141","15540",1974,509278
"new.row.15142","15540",1975,556949
"new.row.15143","15540",1976,629558
"new.row.15144","15540",1977,691489
"new.row.15145","15540",1978,818024
"new.row.15146","15540",1979,930771
"new.row.15147","15540",1980,1027959
"new.row.15148","15540",1981,1148721
"new.row.15149","15540",1982,1232481
"new.row.15150","15540",1983,1332949
"new.row.15151","15540",1984,1468450
"new.row.15152","15540",1985,1620913
"new.row.15153","15540",1986,1757751
"new.row.15154","15540",1987,1942296
"new.row.15155","15540",1988,2144607
"new.row.15156","15540",1989,2358467
"new.row.15157","15540",1990,2468096
"new.row.15158","15540",1991,2519283
"new.row.15159","15540",1992,2689847
"new.row.15160","15540",1993,2815896
"new.row.15161","15540",1994,2893807
"new.row.15162","15540",1995,3019987
"new.row.15163","15540",1996,3242017
"new.row.15164","15540",1997,3396512
"new.row.15165","15540",1998,3687525
"new.row.15166","15540",1999,4009660
"new.row.15167","15540",2000,4378776
"new.row.15168","15540",2001,4644010
"new.row.15169","15540",2002,4772906
"new.row.15170","15540",2003,4957563
"new.row.15171","15540",2004,5237106
"new.row.15172","15540",2005,5408791
"new.row.15173","15540",2006,5591431
"new.row.15174","15540",2007,5746746
"new.row.15175","15540",2008,5926781
"new.row.15176","15540",2009,5857511
"new.row.15177","15540",2010,6060747
"new.row.15178","15540",2011,6499031
"new.row.15179","15540",2012,6762014
"new.row.15180","13980",1969,270505
"new.row.15181","13980",1970,267301
"new.row.15182","13980",1971,280877
"new.row.15183","13980",1972,317405
"new.row.15184","13980",1973,358482
"new.row.15185","13980",1974,389222
"new.row.15186","13980",1975,412228
"new.row.15187","13980",1976,462586
"new.row.15188","13980",1977,522995
"new.row.15189","13980",1978,598955
"new.row.15190","13980",1979,661976
"new.row.15191","13980",1980,717870
"new.row.15192","13980",1981,762732
"new.row.15193","13980",1982,798893
"new.row.15194","13980",1983,879046
"new.row.15195","13980",1984,992382
"new.row.15196","13980",1985,1062808
"new.row.15197","13980",1986,1129500
"new.row.15198","13980",1987,1230643
"new.row.15199","13980",1988,1334819
"new.row.15200","13980",1989,1404083
"new.row.15201","13980",1990,1450744
"new.row.15202","13980",1991,1438166
"new.row.15203","13980",1992,1518552
"new.row.15204","13980",1993,1580953
"new.row.15205","13980",1994,1685157
"new.row.15206","13980",1995,1744802
"new.row.15207","13980",1996,1798492
"new.row.15208","13980",1997,1930677
"new.row.15209","13980",1998,2049446
"new.row.15210","13980",1999,2214005
"new.row.15211","13980",2000,2322648
"new.row.15212","13980",2001,2358677
"new.row.15213","13980",2002,2441824
"new.row.15214","13980",2003,2549256
"new.row.15215","13980",2004,2691481
"new.row.15216","13980",2005,2827846
"new.row.15217","13980",2006,2941125
"new.row.15218","13980",2007,3048126
"new.row.15219","13980",2008,3062144
"new.row.15220","13980",2009,3015807
"new.row.15221","13980",2010,3031805
"new.row.15222","13980",2011,3179273
"new.row.15223","13980",2012,3343609
"new.row.15224","16820",1969,260690
"new.row.15225","16820",1970,276296
"new.row.15226","16820",1971,300218
"new.row.15227","16820",1972,346884
"new.row.15228","16820",1973,397543
"new.row.15229","16820",1974,436262
"new.row.15230","16820",1975,472581
"new.row.15231","16820",1976,529529
"new.row.15232","16820",1977,580795
"new.row.15233","16820",1978,668459
"new.row.15234","16820",1979,744836
"new.row.15235","16820",1980,821106
"new.row.15236","16820",1981,890585
"new.row.15237","16820",1982,951102
"new.row.15238","16820",1983,1048689
"new.row.15239","16820",1984,1163524
"new.row.15240","16820",1985,1260405
"new.row.15241","16820",1986,1369966
"new.row.15242","16820",1987,1496916
"new.row.15243","16820",1988,1702105
"new.row.15244","16820",1989,1834935
"new.row.15245","16820",1990,1950692
"new.row.15246","16820",1991,2044750
"new.row.15247","16820",1992,2168718
"new.row.15248","16820",1993,2321095
"new.row.15249","16820",1994,2441691
"new.row.15250","16820",1995,2548013
"new.row.15251","16820",1996,2700905
"new.row.15252","16820",1997,2913731
"new.row.15253","16820",1998,3159804
"new.row.15254","16820",1999,3339543
"new.row.15255","16820",2000,3626894
"new.row.15256","16820",2001,3794066
"new.row.15257","16820",2002,3968030
"new.row.15258","16820",2003,4116178
"new.row.15259","16820",2004,4440005
"new.row.15260","16820",2005,4780988
"new.row.15261","16820",2006,5042258
"new.row.15262","16820",2007,5288675
"new.row.15263","16820",2008,5498183
"new.row.15264","16820",2009,5531420
"new.row.15265","16820",2010,5716669
"new.row.15266","16820",2011,6084486
"new.row.15267","16820",2012,6390977
"new.row.15268","25500",1969,155852
"new.row.15269","25500",1970,170639
"new.row.15270","25500",1971,184780
"new.row.15271","25500",1972,203044
"new.row.15272","25500",1973,233890
"new.row.15273","25500",1974,231330
"new.row.15274","25500",1975,243880
"new.row.15275","25500",1976,275948
"new.row.15276","25500",1977,305408
"new.row.15277","25500",1978,342142
"new.row.15278","25500",1979,378932
"new.row.15279","25500",1980,414125
"new.row.15280","25500",1981,439561
"new.row.15281","25500",1982,471765
"new.row.15282","25500",1983,513922
"new.row.15283","25500",1984,599908
"new.row.15284","25500",1985,648893
"new.row.15285","25500",1986,748211
"new.row.15286","25500",1987,785995
"new.row.15287","25500",1988,871077
"new.row.15288","25500",1989,956456
"new.row.15289","25500",1990,1001256
"new.row.15290","25500",1991,1040572
"new.row.15291","25500",1992,1143672
"new.row.15292","25500",1993,1217337
"new.row.15293","25500",1994,1289666
"new.row.15294","25500",1995,1325643
"new.row.15295","25500",1996,1367108
"new.row.15296","25500",1997,1452517
"new.row.15297","25500",1998,1553259
"new.row.15298","25500",1999,1639777
"new.row.15299","25500",2000,1746327
"new.row.15300","25500",2001,1851834
"new.row.15301","25500",2002,1854601
"new.row.15302","25500",2003,1954802
"new.row.15303","25500",2004,2079575
"new.row.15304","25500",2005,2208801
"new.row.15305","25500",2006,2295331
"new.row.15306","25500",2007,2402521
"new.row.15307","25500",2008,2421378
"new.row.15308","25500",2009,2383421
"new.row.15309","25500",2010,2419797
"new.row.15310","25500",2011,2522400
"new.row.15311","25500",2012,2635217
"new.row.15312","31340",1969,416991
"new.row.15313","31340",1970,424771
"new.row.15314","31340",1971,448518
"new.row.15315","31340",1972,504020
"new.row.15316","31340",1973,559925
"new.row.15317","31340",1974,616345
"new.row.15318","31340",1975,649519
"new.row.15319","31340",1976,736221
"new.row.15320","31340",1977,822609
"new.row.15321","31340",1978,940290
"new.row.15322","31340",1979,1059093
"new.row.15323","31340",1980,1129488
"new.row.15324","31340",1981,1203431
"new.row.15325","31340",1982,1238878
"new.row.15326","31340",1983,1350625
"new.row.15327","31340",1984,1504981
"new.row.15328","31340",1985,1602225
"new.row.15329","31340",1986,1717636
"new.row.15330","31340",1987,1876116
"new.row.15331","31340",1988,2003144
"new.row.15332","31340",1989,2156343
"new.row.15333","31340",1990,2289506
"new.row.15334","31340",1991,2349436
"new.row.15335","31340",1992,2489775
"new.row.15336","31340",1993,2666273
"new.row.15337","31340",1994,2814834
"new.row.15338","31340",1995,2903550
"new.row.15339","31340",1996,3009034
"new.row.15340","31340",1997,3185163
"new.row.15341","31340",1998,3394658
"new.row.15342","31340",1999,3621680
"new.row.15343","31340",2000,3825205
"new.row.15344","31340",2001,3821070
"new.row.15345","31340",2002,3866386
"new.row.15346","31340",2003,3977206
"new.row.15347","31340",2004,4209390
"new.row.15348","31340",2005,4425536
"new.row.15349","31340",2006,4646953
"new.row.15350","31340",2007,4839523
"new.row.15351","31340",2008,4918280
"new.row.15352","31340",2009,4823504
"new.row.15353","31340",2010,4851671
"new.row.15354","31340",2011,5002652
"new.row.15355","31340",2012,5144965
"new.row.15356","40060",1969,2177683
"new.row.15357","40060",1970,2268904
"new.row.15358","40060",1971,2486198
"new.row.15359","40060",1972,2719159
"new.row.15360","40060",1973,3019588
"new.row.15361","40060",1974,3355817
"new.row.15362","40060",1975,3697539
"new.row.15363","40060",1976,4076023
"new.row.15364","40060",1977,4541161
"new.row.15365","40060",1978,5153656
"new.row.15366","40060",1979,5776817
"new.row.15367","40060",1980,6332698
"new.row.15368","40060",1981,6912164
"new.row.15369","40060",1982,7342139
"new.row.15370","40060",1983,7883288
"new.row.15371","40060",1984,8647229
"new.row.15372","40060",1985,9358727
"new.row.15373","40060",1986,10067576
"new.row.15374","40060",1987,11164369
"new.row.15375","40060",1988,12259373
"new.row.15376","40060",1989,13197711
"new.row.15377","40060",1990,13751460
"new.row.15378","40060",1991,14053615
"new.row.15379","40060",1992,14879529
"new.row.15380","40060",1993,15502274
"new.row.15381","40060",1994,16422127
"new.row.15382","40060",1995,17194960
"new.row.15383","40060",1996,18063015
"new.row.15384","40060",1997,19423906
"new.row.15385","40060",1998,20791958
"new.row.15386","40060",1999,22118950
"new.row.15387","40060",2000,23758372
"new.row.15388","40060",2001,24998607
"new.row.15389","40060",2002,25771869
"new.row.15390","40060",2003,26695363
"new.row.15391","40060",2004,28647487
"new.row.15392","40060",2005,30445710
"new.row.15393","40060",2006,31660027
"new.row.15394","40060",2007,33372030
"new.row.15395","40060",2008,34194117
"new.row.15396","40060",2009,33046412
"new.row.15397","40060",2010,33792211
"new.row.15398","40060",2011,35366376
"new.row.15399","40060",2012,36708883
"new.row.15400","40220",1969,647589
"new.row.15401","40220",1970,667959
"new.row.15402","40220",1971,723085
"new.row.15403","40220",1972,797721
"new.row.15404","40220",1973,890968
"new.row.15405","40220",1974,971101
"new.row.15406","40220",1975,1041801
"new.row.15407","40220",1976,1165861
"new.row.15408","40220",1977,1284795
"new.row.15409","40220",1978,1466671
"new.row.15410","40220",1979,1581015
"new.row.15411","40220",1980,1680370
"new.row.15412","40220",1981,1794587
"new.row.15413","40220",1982,1851025
"new.row.15414","40220",1983,2027887
"new.row.15415","40220",1984,2270859
"new.row.15416","40220",1985,2465056
"new.row.15417","40220",1986,2611599
"new.row.15418","40220",1987,2822163
"new.row.15419","40220",1988,2945981
"new.row.15420","40220",1989,3142642
"new.row.15421","40220",1990,3334387
"new.row.15422","40220",1991,3407646
"new.row.15423","40220",1992,3639279
"new.row.15424","40220",1993,3842726
"new.row.15425","40220",1994,4009648
"new.row.15426","40220",1995,4184872
"new.row.15427","40220",1996,4345188
"new.row.15428","40220",1997,4527348
"new.row.15429","40220",1998,4879454
"new.row.15430","40220",1999,5065003
"new.row.15431","40220",2000,5257532
"new.row.15432","40220",2001,5491383
"new.row.15433","40220",2002,5657535
"new.row.15434","40220",2003,5817497
"new.row.15435","40220",2004,6199217
"new.row.15436","40220",2005,6423762
"new.row.15437","40220",2006,6708835
"new.row.15438","40220",2007,7013726
"new.row.15439","40220",2008,7166531
"new.row.15440","40220",2009,7059724
"new.row.15441","40220",2010,6976815
"new.row.15442","40220",2011,7257738
"new.row.15443","40220",2012,7522817
"new.row.15444","44420",1969,231626
"new.row.15445","44420",1970,240431
"new.row.15446","44420",1971,249221
"new.row.15447","44420",1972,271965
"new.row.15448","44420",1973,305904
"new.row.15449","44420",1974,333543
"new.row.15450","44420",1975,344066
"new.row.15451","44420",1976,384920
"new.row.15452","44420",1977,421419
"new.row.15453","44420",1978,464284
"new.row.15454","44420",1979,513084
"new.row.15455","44420",1980,555444
"new.row.15456","44420",1981,590453
"new.row.15457","44420",1982,604069
"new.row.15458","44420",1983,649435
"new.row.15459","44420",1984,727277
"new.row.15460","44420",1985,763440
"new.row.15461","44420",1986,820054
"new.row.15462","44420",1987,899448
"new.row.15463","44420",1988,991723
"new.row.15464","44420",1989,1065302
"new.row.15465","44420",1990,1129752
"new.row.15466","44420",1991,1138053
"new.row.15467","44420",1992,1200257
"new.row.15468","44420",1993,1261383
"new.row.15469","44420",1994,1325705
"new.row.15470","44420",1995,1356889
"new.row.15471","44420",1996,1422465
"new.row.15472","44420",1997,1519650
"new.row.15473","44420",1998,1644470
"new.row.15474","44420",1999,1672707
"new.row.15475","44420",2000,1770966
"new.row.15476","44420",2001,1837075
"new.row.15477","44420",2002,1885089
"new.row.15478","44420",2003,1968076
"new.row.15479","44420",2004,2104576
"new.row.15480","44420",2005,2228410
"new.row.15481","44420",2006,2282445
"new.row.15482","44420",2007,2335287
"new.row.15483","44420",2008,2420000
"new.row.15484","44420",2009,2309363
"new.row.15485","44420",2010,2297936
"new.row.15486","44420",2011,2383228
"new.row.15487","44420",2012,2498123
"new.row.15488","49020",1969,129755
"new.row.15489","49020",1970,140538
"new.row.15490","49020",1971,155533
"new.row.15491","49020",1972,171506
"new.row.15492","49020",1973,197045
"new.row.15493","49020",1974,220600
"new.row.15494","49020",1975,222489
"new.row.15495","49020",1976,252468
"new.row.15496","49020",1977,282210
"new.row.15497","49020",1978,329550
"new.row.15498","49020",1979,355980
"new.row.15499","49020",1980,374180
"new.row.15500","49020",1981,411027
"new.row.15501","49020",1982,430361
"new.row.15502","49020",1983,467331
"new.row.15503","49020",1984,532719
"new.row.15504","49020",1985,589561
"new.row.15505","49020",1986,672815
"new.row.15506","49020",1987,761985
"new.row.15507","49020",1988,847364
"new.row.15508","49020",1989,923040
"new.row.15509","49020",1990,978922
"new.row.15510","49020",1991,987496
"new.row.15511","49020",1992,1058425
"new.row.15512","49020",1993,1133499
"new.row.15513","49020",1994,1221520
"new.row.15514","49020",1995,1290480
"new.row.15515","49020",1996,1384894
"new.row.15516","49020",1997,1463913
"new.row.15517","49020",1998,1616554
"new.row.15518","49020",1999,1739265
"new.row.15519","49020",2000,1903960
"new.row.15520","49020",2001,1954717
"new.row.15521","49020",2002,2037974
"new.row.15522","49020",2003,2137072
"new.row.15523","49020",2004,2323560
"new.row.15524","49020",2005,2512756
"new.row.15525","49020",2006,2655286
"new.row.15526","49020",2007,2726772
"new.row.15527","49020",2008,2764630
"new.row.15528","49020",2009,2723203
"new.row.15529","49020",2010,2810671
"new.row.15530","49020",2011,2985299
"new.row.15531","49020",2012,3102387
"new.row.15532","13380",1969,207503
"new.row.15533","13380",1970,233489
"new.row.15534","13380",1971,270691
"new.row.15535","13380",1972,281696
"new.row.15536","13380",1973,310903
"new.row.15537","13380",1974,344081
"new.row.15538","13380",1975,385520
"new.row.15539","13380",1976,447924
"new.row.15540","13380",1977,494642
"new.row.15541","13380",1978,563389
"new.row.15542","13380",1979,637959
"new.row.15543","13380",1980,664718
"new.row.15544","13380",1981,689923
"new.row.15545","13380",1982,705523
"new.row.15546","13380",1983,766491
"new.row.15547","13380",1984,806731
"new.row.15548","13380",1985,860623
"new.row.15549","13380",1986,942768
"new.row.15550","13380",1987,1016118
"new.row.15551","13380",1988,1098497
"new.row.15552","13380",1989,1246988
"new.row.15553","13380",1990,1470319
"new.row.15554","13380",1991,1564269
"new.row.15555","13380",1992,1690589
"new.row.15556","13380",1993,1747900
"new.row.15557","13380",1994,1856560
"new.row.15558","13380",1995,1946479
"new.row.15559","13380",1996,2097898
"new.row.15560","13380",1997,2213277
"new.row.15561","13380",1998,2396533
"new.row.15562","13380",1999,2535602
"new.row.15563","13380",2000,2626097
"new.row.15564","13380",2001,2804937
"new.row.15565","13380",2002,2950213
"new.row.15566","13380",2003,3190153
"new.row.15567","13380",2004,3415035
"new.row.15568","13380",2005,3671145
"new.row.15569","13380",2006,3876906
"new.row.15570","13380",2007,4137889
"new.row.15571","13380",2008,4251388
"new.row.15572","13380",2009,4185245
"new.row.15573","13380",2010,4274033
"new.row.15574","13380",2011,4504725
"new.row.15575","13380",2012,4683831
"new.row.15576","14740",1969,333289
"new.row.15577","14740",1970,334340
"new.row.15578","14740",1971,338096
"new.row.15579","14740",1972,365573
"new.row.15580","14740",1973,415738
"new.row.15581","14740",1974,492557
"new.row.15582","14740",1975,569448
"new.row.15583","14740",1976,639227
"new.row.15584","14740",1977,742109
"new.row.15585","14740",1978,843395
"new.row.15586","14740",1979,966313
"new.row.15587","14740",1980,1059378
"new.row.15588","14740",1981,1140081
"new.row.15589","14740",1982,1248379
"new.row.15590","14740",1983,1405712
"new.row.15591","14740",1984,1463439
"new.row.15592","14740",1985,1523248
"new.row.15593","14740",1986,1549757
"new.row.15594","14740",1987,1694362
"new.row.15595","14740",1988,1900241
"new.row.15596","14740",1989,2035937
"new.row.15597","14740",1990,2465909
"new.row.15598","14740",1991,2706457
"new.row.15599","14740",1992,2941578
"new.row.15600","14740",1993,3060930
"new.row.15601","14740",1994,3168703
"new.row.15602","14740",1995,3280369
"new.row.15603","14740",1996,3374746
"new.row.15604","14740",1997,3703499
"new.row.15605","14740",1998,3889431
"new.row.15606","14740",1999,4130950
"new.row.15607","14740",2000,4581216
"new.row.15608","14740",2001,4799695
"new.row.15609","14740",2002,5147675
"new.row.15610","14740",2003,5382219
"new.row.15611","14740",2004,5639433
"new.row.15612","14740",2005,5899840
"new.row.15613","14740",2006,6140296
"new.row.15614","14740",2007,6337057
"new.row.15615","14740",2008,6437125
"new.row.15616","14740",2009,6286338
"new.row.15617","14740",2010,6326793
"new.row.15618","14740",2011,6433739
"new.row.15619","14740",2012,6630118
"new.row.15620","28420",1969,280851
"new.row.15621","28420",1970,299700
"new.row.15622","28420",1971,309862
"new.row.15623","28420",1972,349418
"new.row.15624","28420",1973,404914
"new.row.15625","28420",1974,496969
"new.row.15626","28420",1975,599215
"new.row.15627","28420",1976,671929
"new.row.15628","28420",1977,790135
"new.row.15629","28420",1978,984398
"new.row.15630","28420",1979,1130421
"new.row.15631","28420",1980,1236594
"new.row.15632","28420",1981,1450770
"new.row.15633","28420",1982,1446137
"new.row.15634","28420",1983,1447273
"new.row.15635","28420",1984,1395353
"new.row.15636","28420",1985,1392559
"new.row.15637","28420",1986,1464549
"new.row.15638","28420",1987,1517992
"new.row.15639","28420",1988,1554395
