"","msa.fips","year","personal.current.transfer.receipts"
"new.row.423","26620",1987,213439
"new.row.424","26620",1988,244502
"new.row.425","26620",1989,266026
"new.row.426","26620",1990,293599
"new.row.427","26620",1991,312625
"new.row.428","26620",1992,339415
"new.row.429","26620",1993,353578
"new.row.430","26620",1994,368487
"new.row.431","26620",1995,387125
"new.row.432","26620",1996,394554
"new.row.433","26620",1997,421167
"new.row.434","26620",1998,444829
"new.row.435","26620",1999,462897
"new.row.436","26620",2000,493168
"new.row.437","26620",2001,517728
"new.row.438","26620",2002,543071
"new.row.439","26620",2003,577977
"new.row.440","26620",2004,605563
"new.row.441","26620",2005,649235
"new.row.442","26620",2006,705750
"new.row.443","26620",2007,751744
"new.row.444","26620",2008,796175
"new.row.445","26620",2009,812808
"new.row.446","26620",2010,838249
"new.row.447","26620",2011,663344
"new.row.448","26620",2012,681317
"new.row.449","26620",2013,911971
"new.row.450","33660",1969,27583
"new.row.451","33660",1970,29524
"new.row.452","33660",1971,31556
"new.row.453","33660",1972,36213
"new.row.454","33660",1973,46735
"new.row.455","33660",1974,54531
"new.row.456","33660",1975,61237
"new.row.457","33660",1976,71028
"new.row.458","33660",1977,79438
"new.row.459","33660",1978,91466
"new.row.460","33660",1979,103881
"new.row.461","33660",1980,117985
"new.row.462","33660",1981,140387
"new.row.463","33660",1982,145421
"new.row.464","33660",1983,152341
"new.row.465","33660",1984,163559
"new.row.466","33660",1985,183718
"new.row.467","33660",1986,188540
"new.row.468","33660",1987,195963
"new.row.469","33660",1988,217187
"new.row.470","33660",1989,235439
"new.row.471","33660",1990,253722
"new.row.472","33660",1991,278826
"new.row.473","33660",1992,294806
"new.row.474","33660",1993,313565
"new.row.475","33660",1994,335128
"new.row.476","33660",1995,347875
"new.row.477","33660",1996,362663
"new.row.478","33660",1997,383213
"new.row.479","33660",1998,403815
"new.row.480","33660",1999,411226
"new.row.481","33660",2000,417157
"new.row.482","33660",2001,432652
"new.row.483","33660",2002,440375
"new.row.484","33660",2003,444996
"new.row.485","33660",2004,463997
"new.row.486","33660",2005,502122
"new.row.487","33660",2006,561343
"new.row.488","33660",2007,588526
"new.row.489","33660",2008,617152
"new.row.490","33660",2009,613297
"new.row.491","33660",2010,623691
"new.row.492","33660",2011,512777
"new.row.493","33660",2012,520673
"new.row.494","33660",2013,674672
"new.row.495","33860",1969,21324
"new.row.496","33860",1970,23076
"new.row.497","33860",1971,25855
"new.row.498","33860",1972,30665
"new.row.499","33860",1973,39626
"new.row.500","33860",1974,45980
"new.row.501","33860",1975,49315
"new.row.502","33860",1976,55653
"new.row.503","33860",1977,62279
"new.row.504","33860",1978,71510
"new.row.505","33860",1979,82572
"new.row.506","33860",1980,90718
"new.row.507","33860",1981,104765
"new.row.508","33860",1982,112171
"new.row.509","33860",1983,125939
"new.row.510","33860",1984,139191
"new.row.511","33860",1985,156723
"new.row.512","33860",1986,167216
"new.row.513","33860",1987,179235
"new.row.514","33860",1988,201031
"new.row.515","33860",1989,216018
"new.row.516","33860",1990,229443
"new.row.517","33860",1991,243148
"new.row.518","33860",1992,257459
"new.row.519","33860",1993,274449
"new.row.520","33860",1994,297739
"new.row.521","33860",1995,313432
"new.row.522","33860",1996,326185
"new.row.523","33860",1997,342964
"new.row.524","33860",1998,361060
"new.row.525","33860",1999,384013
"new.row.526","33860",2000,398574
"new.row.527","33860",2001,423904
"new.row.528","33860",2002,447530
"new.row.529","33860",2003,466999
"new.row.530","33860",2004,488853
"new.row.531","33860",2005,517896
"new.row.532","33860",2006,558657
"new.row.533","33860",2007,580270
"new.row.534","33860",2008,596690
"new.row.535","33860",2009,590210
"new.row.536","33860",2010,586114
"new.row.537","33860",2011,468820
"new.row.538","33860",2012,471549
"new.row.539","33860",2013,617443
"new.row.540","46220",1969,11876
"new.row.541","46220",1970,12894
"new.row.542","46220",1971,14527
"new.row.543","46220",1972,16914
