"","area_code","year","high.tech.occupations","total.jobs","rate"
"431","0800003",2013,410,74980,0.00546812483328888
"432","0900001",2013,50,35690,0.0014009526478005
"433","0900002",2013,60,26950,0.00222634508348794
"434","1000001",2013,550,70670,0.00778265176170935
"435","1200001",2013,130,55100,0.00235934664246824
"436","1200002",2013,910,139350,0.00653031933979189
"437","1200003",2013,580,97920,0.00592320261437908
"438","1300001",2013,1040,151990,0.00684255543127837
"439","1300002",2013,1160,133410,0.0086950003747845
"440","1300003",2013,430,81050,0.00530536705737199
"441","1300004",2013,1570,181960,0.00862826994943944
"442","1500001",2013,1470,160950,0.00913327120223672
"443","1600001",2013,310,45260,0.00684931506849315
"444","1600003",2013,300,72340,0.00414708321813658
"445","1600004",2013,710,48550,0.0146240988671473
"446","1700001",2013,1430,136390,0.010484639636337
"447","1700002",2013,1680,180460,0.00930954228083786
"448","1700003",2013,600,115130,0.00521150004342917
"449","1700004",2013,1020,142970,0.00713436385255648
"450","1800001",2013,1660,205760,0.00806765163297045
"451","1800002",2013,920,149010,0.00617408227635729
"452","1800003",2013,3200,160700,0.0199128811449907
"453","1900001",2013,840,99860,0.00841177648708191
"454","1900002",2013,1250,146720,0.0085196292257361
"455","1900003",2013,490,85830,0.00570895957124549
"456","1900004",2013,2240,223540,0.0100205779726223
"457","2000001",2013,3720,387270,0.00960570144860175
"458","2100001",2013,1490,147310,0.0101147240513203
"459","2100002",2013,1160,168330,0.00689122556882314
"460","2100003",2013,2070,158080,0.0130946356275304
"461","2100004",2013,870,110080,0.00790334302325581
"462","2200001",2013,270,51050,0.00528893241919687
"463","2200002",2013,620,81310,0.00762513835936539
"464","2200003",2013,230,79780,0.00288292805214339
"465","2200004",2013,880,135050,0.00651610514624213
"466","2300001",2013,460,70640,0.0065118912797282
"467","2300002",2013,2380,190080,0.0125210437710438
"468","2400001",2013,440,68050,0.00646583394562821
"469","2400003",2013,5040,42700,0.118032786885246
"470","2500003",2013,120,27400,0.00437956204379562
"471","2500004",2013,340,23110,0.0147122457810472
"472","2600001",2013,1000,114920,0.00870170553428472
"473","2600002",2013,270,72190,0.00374013021194071
"474","2600003",2013,950,112280,0.00846099038118988
"475","2600004",2013,3470,288860,0.012012739735512
"476","2700001",2013,1520,183240,0.00829513206723423
"477","2700002",2013,260,52960,0.00490936555891239
"478","2700003",2013,1160,121260,0.00956622134256968
"479","2700004",2013,1810,172990,0.0104630325452338
"480","2800001",2013,1880,214050,0.0087829946274235
"481","2800002",2013,530,102430,0.00517426535194767
"482","2800003",2013,860,130050,0.00661284121491734
"483","2800004",2013,650,94800,0.00685654008438819
"484","2900001",2013,1170,170400,0.00686619718309859
"485","2900002",2013,560,87070,0.00643160675318709
"486","2900003",2013,1050,153350,0.00684708183893055
"487","2900004",2013,320,69340,0.00461494087107009
"488","3000001",2013,150,35230,0.00425773488504116
"489","3000002",2013,140,37380,0.00374531835205993
"490","3000003",2013,2690,121870,0.0220727004184787
"491","3000004",2013,620,68020,0.00911496618641576
"492","3100001",2013,450,78470,0.00573467567223143
"493","3100002",2013,970,105170,0.00922316249881145
"494","3100003",2013,710,92110,0.00770817500814244
"495","3100004",2013,200,47750,0.00418848167539267
"496","3200001",2013,210,36420,0.0057660626029654
"497","3200002",2013,1450,56680,0.0255822159491884
"498","3300001",2013,210,33710,0.00622960545832097
"499","3300002",2013,1150,97900,0.0117466802860061
"500","3300003",2013,1010,61760,0.0163536269430052
"501","3300004",2013,450,39960,0.0112612612612613
"502","3500001",2013,250,62270,0.00401477436968042
"503","3500002",2013,1200,128890,0.00931026456668477
"504","3500003",2013,330,26470,0.0124669437098602
"505","3500004",2013,290,14900,0.0194630872483221
"506","3600001",2013,1440,184810,0.00779178615875764
"507","3600002",2013,40,32650,0.00122511485451761
"508","3600003",2013,1200,125770,0.00954122604754711
"509","3600004",2013,1930,189440,0.0101879222972973
"510","3700001",2013,1770,174790,0.0101264374392128
"511","3700002",2013,2960,295090,0.0100308380494087
"512","3700003",2013,2780,254070,0.0109418664147676
"513","3700004",2013,1450,185400,0.00782092772384035
"514","3800001",2013,460,72920,0.00630828304991772
"515","3800002",2013,410,62310,0.00658000320975766
"516","3800003",2013,150,41200,0.00364077669902913
"517","3900001",2013,2360,231600,0.0101899827288428
"518","3900002",2013,2680,270390,0.00991160915714339
"519","3900003",2013,850,111790,0.0076035423562036
"520","3900004",2013,1290,156780,0.00822809031764256
"521","4000001",2013,1400,117310,0.0119341914585287
"522","4000002",2013,1340,117330,0.0114207789994034
"523","4000003",2013,480,69700,0.00688665710186514
"524","4000004",2013,870,163500,0.00532110091743119
"525","4100001",2013,380,68350,0.0055596196049744
"526","4100002",2013,800,96340,0.00830392360390284
"527","4100003",2013,470,64660,0.00726879059696876
"528","4100004",2013,340,55610,0.00611400827189354
"529","4200001",2013,1520,165740,0.00917099070833836
"530","4200002",2013,1420,156930,0.00904862040400178
"531","4200003",2013,1620,142710,0.0113516922430103
"532","4200004",2013,2710,238320,0.0113712655253441
"533","4500001",2013,820,109740,0.00747220703480955
"534","4500002",2013,1860,109340,0.0170111578562283
"535","4500003",2013,210,43980,0.00477489768076398
"536","4500004",2013,310,54430,0.00569538857247841
"537","4600001",2013,350,32560,0.0107493857493857
"538","4600002",2013,1740,125510,0.0138634371763206
"539","4600003",2013,220,34190,0.0064346300087745
"540","4700001",2013,890,127350,0.00698861405575186
"541","4700002",2013,970,130200,0.00745007680491551
"542","4700003",2013,690,112620,0.00612679808204582
"543","4700004",2013,1520,140210,0.0108408815348406
"544","4800001",2013,3240,257530,0.0125810585174543
"545","4800002",2013,590,80680,0.00731284085275161
"546","4800003",2013,1990,279350,0.00712367997136209
"547","4800004",2013,1020,144440,0.00706175574633066
"548","4800005",2013,280,89090,0.00314288921315524
"549","4800006",2013,940,132220,0.0071093631825745
"550","4900001",2013,30,16670,0.0017996400719856
"551","4900002",2013,40,19370,0.00206504904491482
"552","4900003",2013,30,21210,0.00141442715700141
"553","4900004",2013,510,51040,0.00999216300940439
"554","5000002",2013,790,73260,0.0107835107835108
"555","5100001",2013,1230,131600,0.00934650455927052
"556","5100002",2013,400,65900,0.00606980273141123
"557","5100003",2013,2830,47080,0.0601104502973662
"558","5100004",2013,1030,116580,0.00883513467147024
"559","5300001",2013,350,47270,0.00740427332346097
"560","5300002",2013,390,62400,0.00625
"561","5300003",2013,590,64740,0.0091133765832561
"562","5300004",2013,950,58640,0.0162005457025921
"563","5400001",2013,1130,131330,0.00860427929642884
"564","5400002",2013,1660,140790,0.0117906101285603
"565","5500001",2013,1610,157620,0.0102144397919046
