"","msa.fips","year","contributions.for.government.social.insurance"
"new.row.10127","36140",1971,12868
"new.row.10128","36140",1972,15158
"new.row.10129","36140",1973,20343
"new.row.10130","36140",1974,22757
"new.row.10131","36140",1975,24934
"new.row.10132","36140",1976,27946
"new.row.10133","36140",1977,31201
"new.row.10134","36140",1978,35913
"new.row.10135","36140",1979,40718
"new.row.10136","36140",1980,44608
"new.row.10137","36140",1981,51639
"new.row.10138","36140",1982,54942
"new.row.10139","36140",1983,62741
"new.row.10140","36140",1984,72461
"new.row.10141","36140",1985,80195
"new.row.10142","36140",1986,89144
"new.row.10143","36140",1987,98534
"new.row.10144","36140",1988,113409
"new.row.10145","36140",1989,119460
"new.row.10146","36140",1990,120117
"new.row.10147","36140",1991,125118
"new.row.10148","36140",1992,133066
"new.row.10149","36140",1993,136129
"new.row.10150","36140",1994,144341
"new.row.10151","36140",1995,149382
"new.row.10152","36140",1996,155746
"new.row.10153","36140",1997,161637
"new.row.10154","36140",1998,167025
"new.row.10155","36140",1999,174305
"new.row.10156","36140",2000,182950
"new.row.10157","36140",2001,197023
"new.row.10158","36140",2002,209313
"new.row.10159","36140",2003,218776
"new.row.10160","36140",2004,235527
"new.row.10161","36140",2005,256473
"new.row.10162","36140",2006,262119
"new.row.10163","36140",2007,269398
"new.row.10164","36140",2008,278651
"new.row.10165","36140",2009,278997
"new.row.10166","36140",2010,282178
"new.row.10167","36140",2011,261327
"new.row.10168","36140",2012,266198
"new.row.10169","36140",2013,301799
"new.row.10170","45940",1969,87385
"new.row.10171","45940",1970,91907
"new.row.10172","45940",1971,103732
"new.row.10173","45940",1972,122267
"new.row.10174","45940",1973,156710
"new.row.10175","45940",1974,174351
"new.row.10176","45940",1975,177714
"new.row.10177","45940",1976,198027
"new.row.10178","45940",1977,217095
"new.row.10179","45940",1978,248692
"new.row.10180","45940",1979,282105
"new.row.10181","45940",1980,303717
"new.row.10182","45940",1981,354146
"new.row.10183","45940",1982,375836
"new.row.10184","45940",1983,424102
"new.row.10185","45940",1984,496621
"new.row.10186","45940",1985,548585
"new.row.10187","45940",1986,609722
"new.row.10188","45940",1987,663175
"new.row.10189","45940",1988,759501
"new.row.10190","45940",1989,795994
"new.row.10191","45940",1990,825938
"new.row.10192","45940",1991,875035
"new.row.10193","45940",1992,926148
"new.row.10194","45940",1993,949432
"new.row.10195","45940",1994,1003177
"new.row.10196","45940",1995,1040468
"new.row.10197","45940",1996,1065133
"new.row.10198","45940",1997,1142036
"new.row.10199","45940",1998,1182889
"new.row.10200","45940",1999,1241658
"new.row.10201","45940",2000,1359025
"new.row.10202","45940",2001,1443242
"new.row.10203","45940",2002,1498272
"new.row.10204","45940",2003,1545397
"new.row.10205","45940",2004,1606110
"new.row.10206","45940",2005,1681416
"new.row.10207","45940",2006,1786657
"new.row.10208","45940",2007,1874614
"new.row.10209","45940",2008,1959873
"new.row.10210","45940",2009,1921382
"new.row.10211","45940",2010,1997877
"new.row.10212","45940",2011,1837772
"new.row.10213","45940",2012,1908180
"new.row.10214","45940",2013,2223753
"new.row.10215","47220",1969,30796
"new.row.10216","47220",1970,32227
"new.row.10217","47220",1971,35964
"new.row.10218","47220",1972,41434
"new.row.10219","47220",1973,52644
"new.row.10220","47220",1974,57877
"new.row.10221","47220",1975,57820
"new.row.10222","47220",1976,65384
"new.row.10223","47220",1977,72169
"new.row.10224","47220",1978,82212
"new.row.10225","47220",1979,91443
"new.row.10226","47220",1980,98721
"new.row.10227","47220",1981,111934
"new.row.10228","47220",1982,115792
"new.row.10229","47220",1983,124355
"new.row.10230","47220",1984,137114
"new.row.10231","47220",1985,145205
"new.row.10232","47220",1986,161160
"new.row.10233","47220",1987,174820
"new.row.10234","47220",1988,196079
"new.row.10235","47220",1989,206273
"new.row.10236","47220",1990,209624
"new.row.10237","47220",1991,217962
"new.row.10238","47220",1992,228325
"new.row.10239","47220",1993,233458
"new.row.10240","47220",1994,246401
"new.row.10241","47220",1995,256109
"new.row.10242","47220",1996,264737
"new.row.10243","47220",1997,273437
"new.row.10244","47220",1998,279384
"new.row.10245","47220",1999,282815
"new.row.10246","47220",2000,297617
"new.row.10247","47220",2001,315177
"new.row.10248","47220",2002,322144
"new.row.10249","47220",2003,334454
"new.row.10250","47220",2004,360915
"new.row.10251","47220",2005,385282
"new.row.10252","47220",2006,397427
"new.row.10253","47220",2007,419813
"new.row.10254","47220",2008,435549
"new.row.10255","47220",2009,436006
"new.row.10256","47220",2010,439102
"new.row.10257","47220",2011,406267
"new.row.10258","47220",2012,413570
"new.row.10259","47220",2013,460847
"new.row.10260","10740",1969,62786
"new.row.10261","10740",1970,69248
"new.row.10262","10740",1971,81837
"new.row.10263","10740",1972,98796
"new.row.10264","10740",1973,126791
"new.row.10265","10740",1974,142552
"new.row.10266","10740",1975,156325
"new.row.10267","10740",1976,180604
"new.row.10268","10740",1977,206193
"new.row.10269","10740",1978,247261
"new.row.10270","10740",1979,295139
"new.row.10271","10740",1980,322760
"new.row.10272","10740",1981,378663
"new.row.10273","10740",1982,400925
"new.row.10274","10740",1983,454754
"new.row.10275","10740",1984,522520
"new.row.10276","10740",1985,585624
"new.row.10277","10740",1986,631203
"new.row.10278","10740",1987,667865
"new.row.10279","10740",1988,739907
"new.row.10280","10740",1989,790737
"new.row.10281","10740",1990,899476
"new.row.10282","10740",1991,973862
"new.row.10283","10740",1992,1045200
"new.row.10284","10740",1993,1138606
"new.row.10285","10740",1994,1270721
"new.row.10286","10740",1995,1369032
"new.row.10287","10740",1996,1425874
"new.row.10288","10740",1997,1494645
"new.row.10289","10740",1998,1568733
"new.row.10290","10740",1999,1634634
"new.row.10291","10740",2000,1742982
"new.row.10292","10740",2001,1854646
"new.row.10293","10740",2002,1916848
"new.row.10294","10740",2003,2000165
"new.row.10295","10740",2004,2091210
"new.row.10296","10740",2005,2205243
"new.row.10297","10740",2006,2397737
"new.row.10298","10740",2007,2495552
"new.row.10299","10740",2008,2588149
"new.row.10300","10740",2009,2585991
"new.row.10301","10740",2010,2603389
"new.row.10302","10740",2011,2385648
"new.row.10303","10740",2012,2426327
"new.row.10304","10740",2013,2775522
"new.row.10305","22140",1969,7432
"new.row.10306","22140",1970,7015
"new.row.10307","22140",1971,8874
"new.row.10308","22140",1972,10557
"new.row.10309","22140",1973,14961
"new.row.10310","22140",1974,18932
"new.row.10311","22140",1975,21833
"new.row.10312","22140",1976,26842
"new.row.10313","22140",1977,33905
"new.row.10314","22140",1978,42910
"new.row.10315","22140",1979,48919
"new.row.10316","22140",1980,57992
"new.row.10317","22140",1981,73413
"new.row.10318","22140",1982,75962
"new.row.10319","22140",1983,70334
"new.row.10320","22140",1984,74216
"new.row.10321","22140",1985,79346
"new.row.10322","22140",1986,78176
"new.row.10323","22140",1987,72747
"new.row.10324","22140",1988,81894
"new.row.10325","22140",1989,91183
"new.row.10326","22140",1990,111588
"new.row.10327","22140",1991,121371
"new.row.10328","22140",1992,127329
"new.row.10329","22140",1993,137673
"new.row.10330","22140",1994,148593
"new.row.10331","22140",1995,157750
"new.row.10332","22140",1996,159974
"new.row.10333","22140",1997,165344
"new.row.10334","22140",1998,173873
"new.row.10335","22140",1999,181852
"new.row.10336","22140",2000,188947
"new.row.10337","22140",2001,214548
"new.row.10338","22140",2002,220022
"new.row.10339","22140",2003,229032
"new.row.10340","22140",2004,248375
"new.row.10341","22140",2005,266505
"new.row.10342","22140",2006,298613
"new.row.10343","22140",2007,322256
"new.row.10344","22140",2008,358136
"new.row.10345","22140",2009,334707
"new.row.10346","22140",2010,333425
"new.row.10347","22140",2011,317335
"new.row.10348","22140",2012,325235
"new.row.10349","22140",2013,372793
"new.row.10350","29740",1969,7928
"new.row.10351","29740",1970,8393
"new.row.10352","29740",1971,9841
"new.row.10353","29740",1972,11044
"new.row.10354","29740",1973,14266
"new.row.10355","29740",1974,16312
"new.row.10356","29740",1975,17752
"new.row.10357","29740",1976,20374
"new.row.10358","29740",1977,24369
"new.row.10359","29740",1978,28803
"new.row.10360","29740",1979,33333
"new.row.10361","29740",1980,35824
"new.row.10362","29740",1981,43145
"new.row.10363","29740",1982,48468
"new.row.10364","29740",1983,57163
"new.row.10365","29740",1984,64306
"new.row.10366","29740",1985,71816
"new.row.10367","29740",1986,78524
"new.row.10368","29740",1987,84078
"new.row.10369","29740",1988,94931
"new.row.10370","29740",1989,104886
"new.row.10371","29740",1990,118716
"new.row.10372","29740",1991,130353
"new.row.10373","29740",1992,141766
"new.row.10374","29740",1993,151674
"new.row.10375","29740",1994,159768
"new.row.10376","29740",1995,170318
"new.row.10377","29740",1996,177394
"new.row.10378","29740",1997,185516
"new.row.10379","29740",1998,201410
"new.row.10380","29740",1999,213484
"new.row.10381","29740",2000,223578
"new.row.10382","29740",2001,236770
"new.row.10383","29740",2002,258755
"new.row.10384","29740",2003,278039
"new.row.10385","29740",2004,295740
"new.row.10386","29740",2005,323353
"new.row.10387","29740",2006,351918
"new.row.10388","29740",2007,375013
"new.row.10389","29740",2008,402128
"new.row.10390","29740",2009,417084
"new.row.10391","29740",2010,431171
"new.row.10392","29740",2011,393995
"new.row.10393","29740",2012,400495
"new.row.10394","29740",2013,460928
"new.row.10395","42140",1969,7187
"new.row.10396","42140",1970,7853
"new.row.10397","42140",1971,9362
"new.row.10398","42140",1972,11241
"new.row.10399","42140",1973,14970
"new.row.10400","42140",1974,17567
"new.row.10401","42140",1975,19143
"new.row.10402","42140",1976,21533
"new.row.10403","42140",1977,25169
"new.row.10404","42140",1978,30115
"new.row.10405","42140",1979,34969
"new.row.10406","42140",1980,39903
"new.row.10407","42140",1981,47544
"new.row.10408","42140",1982,53555
"new.row.10409","42140",1983,60722
"new.row.10410","42140",1984,68491
"new.row.10411","42140",1985,76060
"new.row.10412","42140",1986,85081
"new.row.10413","42140",1987,88325
"new.row.10414","42140",1988,101409
"new.row.10415","42140",1989,113378
"new.row.10416","42140",1990,132417
"new.row.10417","42140",1991,149873
"new.row.10418","42140",1992,162910
"new.row.10419","42140",1993,180393
"new.row.10420","42140",1994,197199
"new.row.10421","42140",1995,214154
"new.row.10422","42140",1996,219165
"new.row.10423","42140",1997,231305
"new.row.10424","42140",1998,247506
"new.row.10425","42140",1999,258012
"new.row.10426","42140",2000,275145
"new.row.10427","42140",2001,297647
"new.row.10428","42140",2002,322251
"new.row.10429","42140",2003,334573
"new.row.10430","42140",2004,353560
"new.row.10431","42140",2005,373996
"new.row.10432","42140",2006,406104
"new.row.10433","42140",2007,437126
"new.row.10434","42140",2008,452675
"new.row.10435","42140",2009,431734
"new.row.10436","42140",2010,433563
"new.row.10437","42140",2011,390389
"new.row.10438","42140",2012,393744
"new.row.10439","42140",2013,459295
"new.row.10440","10580",1969,203093
"new.row.10441","10580",1970,218154
"new.row.10442","10580",1971,248053
"new.row.10443","10580",1972,278178
"new.row.10444","10580",1973,345098
"new.row.10445","10580",1974,380223
"new.row.10446","10580",1975,390931
"new.row.10447","10580",1976,432721
"new.row.10448","10580",1977,466785
"new.row.10449","10580",1978,532454
"new.row.10450","10580",1979,604006
"new.row.10451","10580",1980,639168
"new.row.10452","10580",1981,733697
"new.row.10453","10580",1982,787805
"new.row.10454","10580",1983,848981
"new.row.10455","10580",1984,966547
"new.row.10456","10580",1985,1069592
"new.row.10457","10580",1986,1174343
"new.row.10458","10580",1987,1244257
"new.row.10459","10580",1988,1399089
"new.row.10460","10580",1989,1481660
"new.row.10461","10580",1990,1509970
"new.row.10462","10580",1991,1595895
"new.row.10463","10580",1992,1662869
"new.row.10464","10580",1993,1725842
"new.row.10465","10580",1994,1809582
"new.row.10466","10580",1995,1830758
"new.row.10467","10580",1996,1844696
"new.row.10468","10580",1997,1923585
"new.row.10469","10580",1998,2011786
"new.row.10470","10580",1999,2096244
"new.row.10471","10580",2000,2268780
"new.row.10472","10580",2001,2411316
"new.row.10473","10580",2002,2495119
"new.row.10474","10580",2003,2603383
"new.row.10475","10580",2004,2693274
"new.row.10476","10580",2005,2779352
"new.row.10477","10580",2006,2872782
"new.row.10478","10580",2007,2944712
"new.row.10479","10580",2008,3103238
"new.row.10480","10580",2009,3131520
"new.row.10481","10580",2010,3149013
"new.row.10482","10580",2011,2904761
"new.row.10483","10580",2012,2979910
"new.row.10484","10580",2013,3481007
"new.row.10485","13780",1969,69598
"new.row.10486","13780",1970,71901
"new.row.10487","13780",1971,78160
"new.row.10488","13780",1972,87343
"new.row.10489","13780",1973,108690
"new.row.10490","13780",1974,119004
"new.row.10491","13780",1975,124685
"new.row.10492","13780",1976,137684
"new.row.10493","13780",1977,151332
"new.row.10494","13780",1978,172170
"new.row.10495","13780",1979,194532
"new.row.10496","13780",1980,209227
"new.row.10497","13780",1981,243390
"new.row.10498","13780",1982,266749
"new.row.10499","13780",1983,287485
"new.row.10500","13780",1984,328436
"new.row.10501","13780",1985,355797
"new.row.10502","13780",1986,375398
"new.row.10503","13780",1987,390613
"new.row.10504","13780",1988,424416
"new.row.10505","13780",1989,437574
"new.row.10506","13780",1990,429027
"new.row.10507","13780",1991,452179
"new.row.10508","13780",1992,457065
"new.row.10509","13780",1993,463676
"new.row.10510","13780",1994,464806
"new.row.10511","13780",1995,463522
"new.row.10512","13780",1996,465062
"new.row.10513","13780",1997,479294
"new.row.10514","13780",1998,486556
"new.row.10515","13780",1999,505577
"new.row.10516","13780",2000,539674
"new.row.10517","13780",2001,559793
"new.row.10518","13780",2002,565674
"new.row.10519","13780",2003,560319
"new.row.10520","13780",2004,575278
"new.row.10521","13780",2005,603656
"new.row.10522","13780",2006,632330
"new.row.10523","13780",2007,655057
"new.row.10524","13780",2008,690928
"new.row.10525","13780",2009,681995
"new.row.10526","13780",2010,679434
"new.row.10527","13780",2011,620016
"new.row.10528","13780",2012,622402
"new.row.10529","13780",2013,698929
"new.row.10530","15380",1969,348700
"new.row.10531","15380",1970,357861
"new.row.10532","15380",1971,392449
"new.row.10533","15380",1972,439976
"new.row.10534","15380",1973,559600
"new.row.10535","15380",1974,613643
"new.row.10536","15380",1975,623846
"new.row.10537","15380",1976,691508
"new.row.10538","15380",1977,753883
"new.row.10539","15380",1978,840374
"new.row.10540","15380",1979,949644
"new.row.10541","15380",1980,985941
"new.row.10542","15380",1981,1125826
"new.row.10543","15380",1982,1144119
"new.row.10544","15380",1983,1191178
"new.row.10545","15380",1984,1329736
"new.row.10546","15380",1985,1447002
"new.row.10547","15380",1986,1548370
"new.row.10548","15380",1987,1606660
"new.row.10549","15380",1988,1777759
"new.row.10550","15380",1989,1869988
"new.row.10551","15380",1990,1890016
"new.row.10552","15380",1991,1994522
"new.row.10553","15380",1992,2068492
"new.row.10554","15380",1993,2125442
"new.row.10555","15380",1994,2223142
"new.row.10556","15380",1995,2294801
"new.row.10557","15380",1996,2313895
"new.row.10558","15380",1997,2362260
"new.row.10559","15380",1998,2419878
"new.row.10560","15380",1999,2507833
"new.row.10561","15380",2000,2625586
"new.row.10562","15380",2001,2705608
"new.row.10563","15380",2002,2806632
"new.row.10564","15380",2003,2899878
"new.row.10565","15380",2004,3039015
"new.row.10566","15380",2005,3114757
"new.row.10567","15380",2006,3223912
"new.row.10568","15380",2007,3309177
"new.row.10569","15380",2008,3439285
"new.row.10570","15380",2009,3428412
"new.row.10571","15380",2010,3494761
"new.row.10572","15380",2011,3282479
"new.row.10573","15380",2012,3352931
"new.row.10574","15380",2013,3835418
"new.row.10575","21300",1969,24368
"new.row.10576","21300",1970,25373
"new.row.10577","21300",1971,27192
"new.row.10578","21300",1972,30787
"new.row.10579","21300",1973,39391
"new.row.10580","21300",1974,42454
"new.row.10581","21300",1975,42399
"new.row.10582","21300",1976,47320
"new.row.10583","21300",1977,49351
"new.row.10584","21300",1978,55145
"new.row.10585","21300",1979,60779
"new.row.10586","21300",1980,65977
"new.row.10587","21300",1981,75556
"new.row.10588","21300",1982,75753
"new.row.10589","21300",1983,78723
"new.row.10590","21300",1984,86977
"new.row.10591","21300",1985,89739
"new.row.10592","21300",1986,96525
"new.row.10593","21300",1987,105457
"new.row.10594","21300",1988,118303
"new.row.10595","21300",1989,127681
"new.row.10596","21300",1990,127222
"new.row.10597","21300",1991,133598
"new.row.10598","21300",1992,136941
"new.row.10599","21300",1993,142315
"new.row.10600","21300",1994,150604
"new.row.10601","21300",1995,156193
"new.row.10602","21300",1996,160241
"new.row.10603","21300",1997,165208
"new.row.10604","21300",1998,172134
"new.row.10605","21300",1999,174985
"new.row.10606","21300",2000,180544
"new.row.10607","21300",2001,186850
"new.row.10608","21300",2002,188540
"new.row.10609","21300",2003,192436
"new.row.10610","21300",2004,198589
"new.row.10611","21300",2005,214189
"new.row.10612","21300",2006,221727
"new.row.10613","21300",2007,228481
"new.row.10614","21300",2008,243846
"new.row.10615","21300",2009,235488
"new.row.10616","21300",2010,249029
"new.row.10617","21300",2011,234889
"new.row.10618","21300",2012,237350
"new.row.10619","21300",2013,267846
"new.row.10620","24020",1969,21047
"new.row.10621","24020",1970,22577
"new.row.10622","24020",1971,24786
"new.row.10623","24020",1972,27754
"new.row.10624","24020",1973,34816
"new.row.10625","24020",1974,38663
"new.row.10626","24020",1975,39089
"new.row.10627","24020",1976,44431
"new.row.10628","24020",1977,48256
"new.row.10629","24020",1978,55170
"new.row.10630","24020",1979,62393
"new.row.10631","24020",1980,67336
"new.row.10632","24020",1981,77390
"new.row.10633","24020",1982,82735
"new.row.10634","24020",1983,88645
"new.row.10635","24020",1984,102388
"new.row.10636","24020",1985,110118
"new.row.10637","24020",1986,123438
"new.row.10638","24020",1987,134970
"new.row.10639","24020",1988,153028
"new.row.10640","24020",1989,158087
"new.row.10641","24020",1990,157428
"new.row.10642","24020",1991,164916
"new.row.10643","24020",1992,172986
"new.row.10644","24020",1993,178490
"new.row.10645","24020",1994,188805
"new.row.10646","24020",1995,193808
"new.row.10647","24020",1996,194754
"new.row.10648","24020",1997,199577
"new.row.10649","24020",1998,204643
"new.row.10650","24020",1999,206489
"new.row.10651","24020",2000,222131
"new.row.10652","24020",2001,229273
"new.row.10653","24020",2002,241585
"new.row.10654","24020",2003,254035
"new.row.10655","24020",2004,270814
"new.row.10656","24020",2005,288166
"new.row.10657","24020",2006,297357
"new.row.10658","24020",2007,302684
"new.row.10659","24020",2008,321683
"new.row.10660","24020",2009,323255
"new.row.10661","24020",2010,329836
"new.row.10662","24020",2011,308531
"new.row.10663","24020",2012,318945
"new.row.10664","24020",2013,360789
"new.row.10665","27060",1969,15395
"new.row.10666","27060",1970,16309
"new.row.10667","27060",1971,17878
"new.row.10668","27060",1972,20756
"new.row.10669","27060",1973,27404
"new.row.10670","27060",1974,32015
"new.row.10671","27060",1975,33070
"new.row.10672","27060",1976,35377
"new.row.10673","27060",1977,36238
"new.row.10674","27060",1978,42019
"new.row.10675","27060",1979,47948
"new.row.10676","27060",1980,54902
"new.row.10677","27060",1981,66918
"new.row.10678","27060",1982,73620
"new.row.10679","27060",1983,83920
"new.row.10680","27060",1984,95917
"new.row.10681","27060",1985,105424
"new.row.10682","27060",1986,115514
"new.row.10683","27060",1987,123762
"new.row.10684","27060",1988,138424
"new.row.10685","27060",1989,150636
"new.row.10686","27060",1990,149889
"new.row.10687","27060",1991,158268
"new.row.10688","27060",1992,160008
"new.row.10689","27060",1993,162169
"new.row.10690","27060",1994,175117
"new.row.10691","27060",1995,181551
"new.row.10692","27060",1996,181412
"new.row.10693","27060",1997,192824
"new.row.10694","27060",1998,200128
"new.row.10695","27060",1999,216347
"new.row.10696","27060",2000,226597
"new.row.10697","27060",2001,242633
"new.row.10698","27060",2002,260239
"new.row.10699","27060",2003,280440
"new.row.10700","27060",2004,288785
"new.row.10701","27060",2005,297906
"new.row.10702","27060",2006,309117
"new.row.10703","27060",2007,318493
"new.row.10704","27060",2008,346131
"new.row.10705","27060",2009,350272
"new.row.10706","27060",2010,350272
"new.row.10707","27060",2011,323154
"new.row.10708","27060",2012,334289
"new.row.10709","27060",2013,381370
"new.row.10710","28740",1969,29463
"new.row.10711","28740",1970,31226
"new.row.10712","28740",1971,34452
"new.row.10713","28740",1972,38536
"new.row.10714","28740",1973,49347
"new.row.10715","28740",1974,53684
"new.row.10716","28740",1975,54755
"new.row.10717","28740",1976,58960
"new.row.10718","28740",1977,62659
"new.row.10719","28740",1978,71437
"new.row.10720","28740",1979,82280
"new.row.10721","28740",1980,89455
"new.row.10722","28740",1981,102508
"new.row.10723","28740",1982,116493
"new.row.10724","28740",1983,134108
"new.row.10725","28740",1984,156527
"new.row.10726","28740",1985,170522
"new.row.10727","28740",1986,191321
"new.row.10728","28740",1987,196061
"new.row.10729","28740",1988,211746
"new.row.10730","28740",1989,220622
"new.row.10731","28740",1990,219515
"new.row.10732","28740",1991,238891
"new.row.10733","28740",1992,244835
"new.row.10734","28740",1993,232371
"new.row.10735","28740",1994,226596
"new.row.10736","28740",1995,219587
"new.row.10737","28740",1996,215026
"new.row.10738","28740",1997,222365
"new.row.10739","28740",1998,238111
"new.row.10740","28740",1999,250647
"new.row.10741","28740",2000,267928
"new.row.10742","28740",2001,276596
"new.row.10743","28740",2002,291527
"new.row.10744","28740",2003,303932
"new.row.10745","28740",2004,315618
"new.row.10746","28740",2005,331830
"new.row.10747","28740",2006,362172
"new.row.10748","28740",2007,374637
"new.row.10749","28740",2008,387470
"new.row.10750","28740",2009,381287
"new.row.10751","28740",2010,386725
"new.row.10752","28740",2011,353557
"new.row.10753","28740",2012,359779
"new.row.10754","28740",2013,409289
"new.row.10755","40380",1969,268964
"new.row.10756","40380",1970,276964
"new.row.10757","40380",1971,304319
"new.row.10758","40380",1972,352229
"new.row.10759","40380",1973,448781
"new.row.10760","40380",1974,507725
"new.row.10761","40380",1975,521206
"new.row.10762","40380",1976,572254
"new.row.10763","40380",1977,622054
"new.row.10764","40380",1978,698906
"new.row.10765","40380",1979,805638
"new.row.10766","40380",1980,886640
"new.row.10767","40380",1981,1041775
"new.row.10768","40380",1982,1137881
"new.row.10769","40380",1983,1181442
"new.row.10770","40380",1984,1312840
"new.row.10771","40380",1985,1444272
"new.row.10772","40380",1986,1549087
"new.row.10773","40380",1987,1589925
"new.row.10774","40380",1988,1774323
"new.row.10775","40380",1989,1881939
"new.row.10776","40380",1990,1870996
"new.row.10777","40380",1991,1998595
"new.row.10778","40380",1992,2061091
"new.row.10779","40380",1993,2131981
"new.row.10780","40380",1994,2216695
"new.row.10781","40380",1995,2297161
"new.row.10782","40380",1996,2341807
"new.row.10783","40380",1997,2402551
"new.row.10784","40380",1998,2451649
"new.row.10785","40380",1999,2507475
"new.row.10786","40380",2000,2601042
"new.row.10787","40380",2001,2737718
"new.row.10788","40380",2002,2784338
"new.row.10789","40380",2003,2862480
"new.row.10790","40380",2004,2972680
"new.row.10791","40380",2005,3096114
"new.row.10792","40380",2006,3184430
"new.row.10793","40380",2007,3276000
"new.row.10794","40380",2008,3414615
"new.row.10795","40380",2009,3374086
"new.row.10796","40380",2010,3428006
"new.row.10797","40380",2011,3203368
"new.row.10798","40380",2012,3274851
"new.row.10799","40380",2013,3738469
"new.row.10800","45060",1969,153864
"new.row.10801","45060",1970,159044
"new.row.10802","45060",1971,177611
"new.row.10803","45060",1972,203519
"new.row.10804","45060",1973,257308
"new.row.10805","45060",1974,287568
"new.row.10806","45060",1975,287290
"new.row.10807","45060",1976,320529
"new.row.10808","45060",1977,355778
"new.row.10809","45060",1978,402548
"new.row.10810","45060",1979,468697
"new.row.10811","45060",1980,507669
"new.row.10812","45060",1981,586156
"new.row.10813","45060",1982,637151
"new.row.10814","45060",1983,698934
"new.row.10815","45060",1984,805381
"new.row.10816","45060",1985,878188
"new.row.10817","45060",1986,935677
"new.row.10818","45060",1987,957853
"new.row.10819","45060",1988,1056380
"new.row.10820","45060",1989,1126184
"new.row.10821","45060",1990,1142377
"new.row.10822","45060",1991,1182353
"new.row.10823","45060",1992,1228735
"new.row.10824","45060",1993,1254905
"new.row.10825","45060",1994,1295587
"new.row.10826","45060",1995,1319060
"new.row.10827","45060",1996,1316545
"new.row.10828","45060",1997,1350626
"new.row.10829","45060",1998,1385454
"new.row.10830","45060",1999,1430906
"new.row.10831","45060",2000,1494854
"new.row.10832","45060",2001,1568261
"new.row.10833","45060",2002,1642649
"new.row.10834","45060",2003,1694784
"new.row.10835","45060",2004,1758561
"new.row.10836","45060",2005,1829842
"new.row.10837","45060",2006,1882260
"new.row.10838","45060",2007,1950578
"new.row.10839","45060",2008,2024437
"new.row.10840","45060",2009,2010387
"new.row.10841","45060",2010,2032940
"new.row.10842","45060",2011,1873002
"new.row.10843","45060",2012,1921359
"new.row.10844","45060",2013,2187724
"new.row.10845","46540",1969,74961
"new.row.10846","46540",1970,77266
"new.row.10847","46540",1971,83159
"new.row.10848","46540",1972,91493
"new.row.10849","46540",1973,113937
"new.row.10850","46540",1974,124340
"new.row.10851","46540",1975,127841
"new.row.10852","46540",1976,138815
"new.row.10853","46540",1977,147764
"new.row.10854","46540",1978,166510
"new.row.10855","46540",1979,187576
"new.row.10856","46540",1980,201409
"new.row.10857","46540",1981,230838
"new.row.10858","46540",1982,243903
"new.row.10859","46540",1983,259401
"new.row.10860","46540",1984,294788
"new.row.10861","46540",1985,315513
"new.row.10862","46540",1986,336839
"new.row.10863","46540",1987,351925
"new.row.10864","46540",1988,389858
"new.row.10865","46540",1989,407576
"new.row.10866","46540",1990,414062
"new.row.10867","46540",1991,431328
"new.row.10868","46540",1992,449332
"new.row.10869","46540",1993,464491
"new.row.10870","46540",1994,481799
"new.row.10871","46540",1995,486687
"new.row.10872","46540",1996,480426
"new.row.10873","46540",1997,494000
"new.row.10874","46540",1998,504407
"new.row.10875","46540",1999,526127
"new.row.10876","46540",2000,553118
"new.row.10877","46540",2001,577548
"new.row.10878","46540",2002,598249
"new.row.10879","46540",2003,617862
"new.row.10880","46540",2004,645960
"new.row.10881","46540",2005,672882
"new.row.10882","46540",2006,702072
"new.row.10883","46540",2007,730191
"new.row.10884","46540",2008,760650
"new.row.10885","46540",2009,761505
"new.row.10886","46540",2010,775111
"new.row.10887","46540",2011,710241
"new.row.10888","46540",2012,718371
"new.row.10889","46540",2013,817217
"new.row.10890","48060",1969,17150
"new.row.10891","48060",1970,17886
"new.row.10892","48060",1971,19170
"new.row.10893","48060",1972,21020
"new.row.10894","48060",1973,25710
"new.row.10895","48060",1974,28471
"new.row.10896","48060",1975,29592
"new.row.10897","48060",1976,32046
"new.row.10898","48060",1977,34443
"new.row.10899","48060",1978,39685
"new.row.10900","48060",1979,45747
"new.row.10901","48060",1980,49402
"new.row.10902","48060",1981,55388
"new.row.10903","48060",1982,58787
"new.row.10904","48060",1983,63922
"new.row.10905","48060",1984,73089
"new.row.10906","48060",1985,81387
"new.row.10907","48060",1986,92370
"new.row.10908","48060",1987,114820
"new.row.10909","48060",1988,143014
"new.row.10910","48060",1989,156679
"new.row.10911","48060",1990,156051
"new.row.10912","48060",1991,165526
"new.row.10913","48060",1992,172555
"new.row.10914","48060",1993,173235
"new.row.10915","48060",1994,177783
"new.row.10916","48060",1995,180459
"new.row.10917","48060",1996,182095
"new.row.10918","48060",1997,186017
"new.row.10919","48060",1998,192984
"new.row.10920","48060",1999,197607
"new.row.10921","48060",2000,207614
"new.row.10922","48060",2001,218985
"new.row.10923","48060",2002,231978
"new.row.10924","48060",2003,247022
"new.row.10925","48060",2004,268370
"new.row.10926","48060",2005,303851
"new.row.10927","48060",2006,342401
"new.row.10928","48060",2007,356678
"new.row.10929","48060",2008,383065
"new.row.10930","48060",2009,402083
"new.row.10931","48060",2010,428314
"new.row.10932","48060",2011,404654
"new.row.10933","48060",2012,401771
"new.row.10934","48060",2013,431186
"new.row.10935","11700",1969,39731
"new.row.10936","11700",1970,41768
"new.row.10937","11700",1971,47442
"new.row.10938","11700",1972,56878
