    24000,"Maryland",12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"
    24000,"Maryland",15680,"California-Lexington Park, MD (Metropolitan Statistical Area)"
    24000,"Maryland",19060,"Cumberland, MD-WV (Metropolitan Statistical Area)"
    24000,"Maryland",25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"
    24000,"Maryland",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)"
    24000,"Maryland",41540,"Salisbury, MD-DE (Metropolitan Statistical Area)"
    24000,"Maryland",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)"
    25000,"Massachusetts",12700,"Barnstable Town, MA (Metropolitan Statistical Area)"
    25000,"Massachusetts",14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)"
    25000,"Massachusetts",38340,"Pittsfield, MA (Metropolitan Statistical Area)"
    25000,"Massachusetts",39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)"
    25000,"Massachusetts",44140,"Springfield, MA (Metropolitan Statistical Area)"
    25000,"Massachusetts",49340,"Worcester, MA-CT (Metropolitan Statistical Area)"
    26000,"Michigan",11460,"Ann Arbor, MI (Metropolitan Statistical Area)"
    26000,"Michigan",12980,"Battle Creek, MI (Metropolitan Statistical Area)"
    26000,"Michigan",13020,"Bay City, MI (Metropolitan Statistical Area)"
    26000,"Michigan",19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)"
    26000,"Michigan",22420,"Flint, MI (Metropolitan Statistical Area)"
    26000,"Michigan",24340,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)"
    26000,"Michigan",27100,"Jackson, MI (Metropolitan Statistical Area)"
    26000,"Michigan",28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)"
    26000,"Michigan",29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)"
    26000,"Michigan",33220,"Midland, MI (Metropolitan Statistical Area)"
