"","msa.fips","year","average.compensation.per.job"
"new.row.443","31460",2012,50635
"new.row.444","32900",2001,32686
"new.row.445","32900",2002,33850
"new.row.446","32900",2003,36300
"new.row.447","32900",2004,38830
"new.row.448","32900",2005,41176
"new.row.449","32900",2006,42670
"new.row.450","32900",2007,43908
"new.row.451","32900",2008,46541
"new.row.452","32900",2009,47279
"new.row.453","32900",2010,48098
"new.row.454","32900",2011,48983
"new.row.455","32900",2012,49649
"new.row.456","33700",2001,37200
"new.row.457","33700",2002,38806
"new.row.458","33700",2003,41011
"new.row.459","33700",2004,43432
"new.row.460","33700",2005,45396
"new.row.461","33700",2006,46898
"new.row.462","33700",2007,48353
"new.row.463","33700",2008,50128
"new.row.464","33700",2009,51337
"new.row.465","33700",2010,52321
"new.row.466","33700",2011,53595
"new.row.467","33700",2012,54574
"new.row.468","34900",2001,43433
"new.row.469","34900",2002,44422
"new.row.470","34900",2003,47020
"new.row.471","34900",2004,50707
"new.row.472","34900",2005,52569
"new.row.473","34900",2006,54780
"new.row.474","34900",2007,57602
"new.row.475","34900",2008,59038
"new.row.476","34900",2009,59563
"new.row.477","34900",2010,60338
"new.row.478","34900",2011,61734
"new.row.479","34900",2012,62533
"new.row.480","37100",2001,46333
"new.row.481","37100",2002,47028
"new.row.482","37100",2003,50386
"new.row.483","37100",2004,54414
"new.row.484","37100",2005,57059
"new.row.485","37100",2006,58399
"new.row.486","37100",2007,60812
"new.row.487","37100",2008,60081
"new.row.488","37100",2009,60920
"new.row.489","37100",2010,62590
"new.row.490","37100",2011,64890
"new.row.491","37100",2012,65702
"new.row.492","39820",2001,35546
"new.row.493","39820",2002,37019
"new.row.494","39820",2003,38828
"new.row.495","39820",2004,40979
"new.row.496","39820",2005,42861
"new.row.497","39820",2006,44060
"new.row.498","39820",2007,45990
"new.row.499","39820",2008,47237
"new.row.500","39820",2009,47677
"new.row.501","39820",2010,48676
"new.row.502","39820",2011,50747
"new.row.503","39820",2012,51297
"new.row.504","40140",2001,38401
"new.row.505","40140",2002,40057
"new.row.506","40140",2003,42386
"new.row.507","40140",2004,44973
"new.row.508","40140",2005,46443
"new.row.509","40140",2006,48097
"new.row.510","40140",2007,49615
"new.row.511","40140",2008,50964
"new.row.512","40140",2009,51493
"new.row.513","40140",2010,52833
"new.row.514","40140",2011,54259
"new.row.515","40140",2012,54674
"new.row.516","40900",2001,47466
"new.row.517","40900",2002,49482
"new.row.518","40900",2003,52053
"new.row.519","40900",2004,54757
"new.row.520","40900",2005,56879
"new.row.521","40900",2006,58921
"new.row.522","40900",2007,61275
"new.row.523","40900",2008,63778
"new.row.524","40900",2009,64422
"new.row.525","40900",2010,66337
"new.row.526","40900",2011,69113
"new.row.527","40900",2012,70301
"new.row.528","41500",2001,40119
"new.row.529","41500",2002,40710
"new.row.530","41500",2003,42807
"new.row.531","41500",2004,45764
"new.row.532","41500",2005,48364
"new.row.533","41500",2006,51339
"new.row.534","41500",2007,52498
"new.row.535","41500",2008,54162
"new.row.536","41500",2009,54870
"new.row.537","41500",2010,55345
"new.row.538","41500",2011,56525
"new.row.539","41500",2012,56980
"new.row.540","41740",2001,46693
"new.row.541","41740",2002,48236
"new.row.542","41740",2003,50666
"new.row.543","41740",2004,53934
"new.row.544","41740",2005,55993
"new.row.545","41740",2006,58344
"new.row.546","41740",2007,60750
"new.row.547","41740",2008,62863
"new.row.548","41740",2009,63607
"new.row.549","41740",2010,66236
"new.row.550","41740",2011,69032
"new.row.551","41740",2012,70638
"new.row.552","41860",2001,63858
"new.row.553","41860",2002,63275
"new.row.554","41860",2003,65657
"new.row.555","41860",2004,69801
"new.row.556","41860",2005,73545
"new.row.557","41860",2006,76670
"new.row.558","41860",2007,80181
"new.row.559","41860",2008,81342
"new.row.560","41860",2009,81948
"new.row.561","41860",2010,84440
"new.row.562","41860",2011,87973
"new.row.563","41860",2012,94487
"new.row.564","41940",2001,76832
"new.row.565","41940",2002,74660
"new.row.566","41940",2003,78554
"new.row.567","41940",2004,84619
"new.row.568","41940",2005,87223
"new.row.569","41940",2006,92217
"new.row.570","41940",2007,98158
"new.row.571","41940",2008,96846
"new.row.572","41940",2009,96675
"new.row.573","41940",2010,106457
"new.row.574","41940",2011,112898
"new.row.575","41940",2012,114310
"new.row.576","42020",2001,36803
"new.row.577","42020",2002,38162
"new.row.578","42020",2003,40372
"new.row.579","42020",2004,43491
"new.row.580","42020",2005,44836
"new.row.581","42020",2006,46549
"new.row.582","42020",2007,48404
"new.row.583","42020",2008,50562
"new.row.584","42020",2009,51574
"new.row.585","42020",2010,52648
"new.row.586","42020",2011,53921
"new.row.587","42020",2012,53735
"new.row.588","42100",2001,42888
"new.row.589","42100",2002,43170
"new.row.590","42100",2003,44598
"new.row.591","42100",2004,47214
"new.row.592","42100",2005,49076
"new.row.593","42100",2006,52317
"new.row.594","42100",2007,53276
"new.row.595","42100",2008,53979
"new.row.596","42100",2009,53531
"new.row.597","42100",2010,54332
"new.row.598","42100",2011,56934
"new.row.599","42100",2012,58398
"new.row.600","42200",2001,41557
"new.row.601","42200",2002,42501
"new.row.602","42200",2003,44874
"new.row.603","42200",2004,48073
"new.row.604","42200",2005,50650
"new.row.605","42200",2006,52335
"new.row.606","42200",2007,53996
"new.row.607","42200",2008,55282
"new.row.608","42200",2009,56354
"new.row.609","42200",2010,57969
"new.row.610","42200",2011,59558
"new.row.611","42200",2012,61097
"new.row.612","42220",2001,44560
"new.row.613","42220",2002,45247
"new.row.614","42220",2003,46955
"new.row.615","42220",2004,49391
"new.row.616","42220",2005,51614
"new.row.617","42220",2006,53334
"new.row.618","42220",2007,54815
"new.row.619","42220",2008,56252
"new.row.620","42220",2009,55949
"new.row.621","42220",2010,57620
"new.row.622","42220",2011,59452
"new.row.623","42220",2012,59476
"new.row.624","44700",2001,39047
"new.row.625","44700",2002,40608
"new.row.626","44700",2003,42533
"new.row.627","44700",2004,45085
"new.row.628","44700",2005,46698
"new.row.629","44700",2006,48350
"new.row.630","44700",2007,50053
"new.row.631","44700",2008,51878
"new.row.632","44700",2009,52350
"new.row.633","44700",2010,53621
"new.row.634","44700",2011,54877
"new.row.635","44700",2012,55046
"new.row.636","46700",2001,42737
"new.row.637","46700",2002,44083
"new.row.638","46700",2003,46407
"new.row.639","46700",2004,49480
"new.row.640","46700",2005,51650
"new.row.641","46700",2006,54021
"new.row.642","46700",2007,56839
"new.row.643","46700",2008,59404
"new.row.644","46700",2009,61900
"new.row.645","46700",2010,62412
"new.row.646","46700",2011,64917
"new.row.647","46700",2012,66880
"new.row.648","47300",2001,31789
"new.row.649","47300",2002,32529
"new.row.650","47300",2003,34425
"new.row.651","47300",2004,37449
"new.row.652","47300",2005,39001
"new.row.653","47300",2006,40857
"new.row.654","47300",2007,41881
"new.row.655","47300",2008,43646
"new.row.656","47300",2009,44236
"new.row.657","47300",2010,44665
"new.row.658","47300",2011,46080
"new.row.659","47300",2012,46950
"new.row.660","49700",2001,36505
"new.row.661","49700",2002,38118
"new.row.662","49700",2003,40658
"new.row.663","49700",2004,42832
"new.row.664","49700",2005,45173
"new.row.665","49700",2006,47240
"new.row.666","49700",2007,48918
"new.row.667","49700",2008,51325
"new.row.668","49700",2009,52789
"new.row.669","49700",2010,53777
"new.row.670","49700",2011,55446
"new.row.671","49700",2012,56556
"new.row.672","14500",2001,52215
"new.row.673","14500",2002,52049
"new.row.674","14500",2003,54362
"new.row.675","14500",2004,56491
"new.row.676","14500",2005,58408
"new.row.677","14500",2006,60200
"new.row.678","14500",2007,61889
"new.row.679","14500",2008,62632
"new.row.680","14500",2009,62465
"new.row.681","14500",2010,64894
"new.row.682","14500",2011,65952
"new.row.683","14500",2012,67796
"new.row.684","17820",2001,42023
"new.row.685","17820",2002,43462
"new.row.686","17820",2003,45170
"new.row.687","17820",2004,46916
"new.row.688","17820",2005,48997
"new.row.689","17820",2006,50290
"new.row.690","17820",2007,51808
"new.row.691","17820",2008,53461
"new.row.692","17820",2009,55548
"new.row.693","17820",2010,57338
"new.row.694","17820",2011,58502
"new.row.695","17820",2012,59604
"new.row.696","19740",2001,50792
"new.row.697","19740",2002,50968
"new.row.698","19740",2003,52735
"new.row.699","19740",2004,54709
"new.row.700","19740",2005,56601
"new.row.701","19740",2006,58903
"new.row.702","19740",2007,60923
