CBSA Code,Metro Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County,Lat,Lng
45460,,,"Terre Haute, IN",Metropolitan Statistical Area,,,Vigo County,Indiana,18,167,Central,39.4165382,-87.4207518
45500,,,"Texarkana, TX-AR",Metropolitan Statistical Area,,,Little River County,Arkansas,05,081,Outlying,33.6808926,-94.19234
45500,,,"Texarkana, TX-AR",Metropolitan Statistical Area,,,Miller County,Arkansas,05,091,Central,33.3335556,-93.8655303
45500,,,"Texarkana, TX-AR",Metropolitan Statistical Area,,,Bowie County,Texas,48,037,Central,33.4473287,-94.479976
45520,,,"The Dalles, OR",Micropolitan Statistical Area,,,Wasco County,Oregon,41,065,Central,45.0600051,-121.2375121
45540,,422,"The Villages, FL",Metropolitan Statistical Area,,"Orlando-Deltona-Daytona Beach, FL",Sumter County,Florida,12,119,Central,28.6747526,-82.0842901
45580,,122,"Thomaston, GA",Micropolitan Statistical Area,,"Atlanta--Athens-Clarke County--Sandy Springs, GA",Upson County,Georgia,13,293,Central,32.9047684,-84.3121264
45620,,,"Thomasville, GA",Micropolitan Statistical Area,,,Thomas County,Georgia,13,275,Central,30.8417409,-83.8473015
45660,,248,"Tiffin, OH",Micropolitan Statistical Area,,"Findlay-Tiffin, OH",Seneca County,Ohio,39,147,Central,41.1585179,-83.1649001
45700,,,"Tifton, GA",Micropolitan Statistical Area,,,Tift County,Georgia,13,277,Central,31.4205597,-83.5496566
45740,,,"Toccoa, GA",Micropolitan Statistical Area,,,Stephens County,Georgia,13,257,Central,34.5458998,-83.2934086
45780,,534,"Toledo, OH",Metropolitan Statistical Area,,"Toledo-Port Clinton, OH",Fulton County,Ohio,39,051,Outlying,41.5719341,-84.1435136
45780,,534,"Toledo, OH",Metropolitan Statistical Area,,"Toledo-Port Clinton, OH",Lucas County,Ohio,39,095,Central,41.6894388,-83.3789389
45780,,534,"Toledo, OH",Metropolitan Statistical Area,,"Toledo-Port Clinton, OH",Wood County,Ohio,39,173,Central,41.3478458,-83.6773928
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Jackson County,Kansas,20,085,Outlying,39.4241422,-95.8142885
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Jefferson County,Kansas,20,087,Outlying,39.2827652,-95.3102505
45820,,,"Topeka, KS",Metropolitan Statistical Area,,,Osage County,Kansas,20,139,Outlying,38.6009003,-95.6457951
