"","msa.fips","year","total.employment"
"new.row.489","33660",2008,234700
"new.row.490","33660",2009,226868
"new.row.491","33660",2010,226782
"new.row.492","33660",2011,232567
"new.row.493","33660",2012,229714
"new.row.494","33660",2013,230547
"new.row.495","33860",1969,109699
"new.row.496","33860",1970,109720
"new.row.497","33860",1971,112842
"new.row.498","33860",1972,119422
"new.row.499","33860",1973,124450
"new.row.500","33860",1974,126242
"new.row.501","33860",1975,124938
"new.row.502","33860",1976,127870
"new.row.503","33860",1977,132672
"new.row.504","33860",1978,139055
"new.row.505","33860",1979,142495
"new.row.506","33860",1980,142176
"new.row.507","33860",1981,139589
"new.row.508","33860",1982,137511
"new.row.509","33860",1983,141881
"new.row.510","33860",1984,147345
"new.row.511","33860",1985,150916
"new.row.512","33860",1986,156125
"new.row.513","33860",1987,160694
"new.row.514","33860",1988,166464
"new.row.515","33860",1989,169489
"new.row.516","33860",1990,170900
"new.row.517","33860",1991,171043
"new.row.518","33860",1992,175249
"new.row.519","33860",1993,179984
"new.row.520","33860",1994,183466
"new.row.521","33860",1995,189986
"new.row.522","33860",1996,194046
"new.row.523","33860",1997,197762
"new.row.524","33860",1998,201475
"new.row.525","33860",1999,205499
"new.row.526","33860",2000,207081
"new.row.527","33860",2001,208177
"new.row.528","33860",2002,208967
"new.row.529","33860",2003,209881
"new.row.530","33860",2004,214503
"new.row.531","33860",2005,220590
"new.row.532","33860",2006,226642
"new.row.533","33860",2007,233287
"new.row.534","33860",2008,230974
"new.row.535","33860",2009,223362
"new.row.536","33860",2010,219661
"new.row.537","33860",2011,220321
"new.row.538","33860",2012,218083
"new.row.539","33860",2013,219913
"new.row.540","46220",1969,57044
"new.row.541","46220",1970,57595
"new.row.542","46220",1971,59464
"new.row.543","46220",1972,62219
"new.row.544","46220",1973,64792
"new.row.545","46220",1974,65272
"new.row.546","46220",1975,64783
"new.row.547","46220",1976,66406
"new.row.548","46220",1977,68549
"new.row.549","46220",1978,68430
"new.row.550","46220",1979,69758
"new.row.551","46220",1980,69209
"new.row.552","46220",1981,69349
"new.row.553","46220",1982,68387
"new.row.554","46220",1983,68723
"new.row.555","46220",1984,71003
"new.row.556","46220",1985,72404
"new.row.557","46220",1986,75044
"new.row.558","46220",1987,78163
"new.row.559","46220",1988,81570
"new.row.560","46220",1989,83909
"new.row.561","46220",1990,87832
"new.row.562","46220",1991,87718
"new.row.563","46220",1992,88695
"new.row.564","46220",1993,92593
"new.row.565","46220",1994,94585
"new.row.566","46220",1995,96915
"new.row.567","46220",1996,99421
"new.row.568","46220",1997,102688
"new.row.569","46220",1998,104871
"new.row.570","46220",1999,105800
"new.row.571","46220",2000,106557
"new.row.572","46220",2001,107147
"new.row.573","46220",2002,108033
"new.row.574","46220",2003,108403
"new.row.575","46220",2004,111566
"new.row.576","46220",2005,115305
"new.row.577","46220",2006,120157
"new.row.578","46220",2007,123501
"new.row.579","46220",2008,122842
"new.row.580","46220",2009,117945
"new.row.581","46220",2010,117711
"new.row.582","46220",2011,119707
"new.row.583","46220",2012,121531
"new.row.584","46220",2013,122852
"new.row.585","11260",1969,67297
"new.row.586","11260",1970,70329
"new.row.587","11260",1971,73124
"new.row.588","11260",1972,77502
"new.row.589","11260",1973,81822
"new.row.590","11260",1974,92715
"new.row.591","11260",1975,106942
"new.row.592","11260",1976,113300
"new.row.593","11260",1977,117650
"new.row.594","11260",1978,119090
"new.row.595","11260",1979,119439
"new.row.596","11260",1980,119735
"new.row.597","11260",1981,123606
"new.row.598","11260",1982,139054
"new.row.599","11260",1983,150798
"new.row.600","11260",1984,158830
"new.row.601","11260",1985,163306
"new.row.602","11260",1986,158789
"new.row.603","11260",1987,157016
"new.row.604","11260",1988,156200
"new.row.605","11260",1989,159968
"new.row.606","11260",1990,166968
"new.row.607","11260",1991,172470
"new.row.608","11260",1992,173979
"new.row.609","11260",1993,177780
"new.row.610","11260",1994,181242
"new.row.611","11260",1995,182105
"new.row.612","11260",1996,183521
"new.row.613","11260",1997,187454
"new.row.614","11260",1998,194099
"new.row.615","11260",1999,194367
"new.row.616","11260",2000,198093
"new.row.617","11260",2001,201679
"new.row.618","11260",2002,206185
"new.row.619","11260",2003,209894
"new.row.620","11260",2004,214669
"new.row.621","11260",2005,219256
"new.row.622","11260",2006,224570
"new.row.623","11260",2007,228795
"new.row.624","11260",2008,230788
"new.row.625","11260",2009,231135
"new.row.626","11260",2010,229912
"new.row.627","11260",2011,231777
"new.row.628","11260",2012,237564
"new.row.629","11260",2013,239605
"new.row.630","21820",1969,23084
"new.row.631","21820",1970,23571
"new.row.632","21820",1971,23042
"new.row.633","21820",1972,23612
"new.row.634","21820",1973,23221
"new.row.635","21820",1974,28366
"new.row.636","21820",1975,38163
"new.row.637","21820",1976,36768
"new.row.638","21820",1977,34246
"new.row.639","21820",1978,31953
"new.row.640","21820",1979,32015
"new.row.641","21820",1980,31780
"new.row.642","21820",1981,33124
"new.row.643","21820",1982,36850
"new.row.644","21820",1983,38748
"new.row.645","21820",1984,41113
"new.row.646","21820",1985,42878
"new.row.647","21820",1986,41269
"new.row.648","21820",1987,42080
"new.row.649","21820",1988,42911
"new.row.650","21820",1989,43488
"new.row.651","21820",1990,43739
"new.row.652","21820",1991,44917
"new.row.653","21820",1992,45630
"new.row.654","21820",1993,46493
"new.row.655","21820",1994,46423
"new.row.656","21820",1995,46681
"new.row.657","21820",1996,47330
"new.row.658","21820",1997,48611
"new.row.659","21820",1998,49592
"new.row.660","21820",1999,49427
"new.row.661","21820",2000,50501
"new.row.662","21820",2001,51965
"new.row.663","21820",2002,53192
"new.row.664","21820",2003,53609
"new.row.665","21820",2004,54995
"new.row.666","21820",2005,56246
"new.row.667","21820",2006,57751
"new.row.668","21820",2007,59042
"new.row.669","21820",2008,58720
"new.row.670","21820",2009,57970
"new.row.671","21820",2010,57239
"new.row.672","21820",2011,58932
"new.row.673","21820",2012,59369
"new.row.674","21820",2013,58538
"new.row.675","22380",1969,19472
"new.row.676","22380",1970,20148
"new.row.677","22380",1971,21705
"new.row.678","22380",1972,24041
"new.row.679","22380",1973,26189
"new.row.680","22380",1974,26719
"new.row.681","22380",1975,26902
"new.row.682","22380",1976,27565
"new.row.683","22380",1977,29570
"new.row.684","22380",1978,32397
"new.row.685","22380",1979,33879
"new.row.686","22380",1980,35165
"new.row.687","22380",1981,35739
"new.row.688","22380",1982,35849
"new.row.689","22380",1983,37242
"new.row.690","22380",1984,39790
"new.row.691","22380",1985,41603
"new.row.692","22380",1986,43483
"new.row.693","22380",1987,45220
"new.row.694","22380",1988,46586
"new.row.695","22380",1989,47115
"new.row.696","22380",1990,48543
"new.row.697","22380",1991,49766
"new.row.698","22380",1992,51643
"new.row.699","22380",1993,53787
"new.row.700","22380",1994,56507
"new.row.701","22380",1995,58867
"new.row.702","22380",1996,61574
"new.row.703","22380",1997,62567
"new.row.704","22380",1998,65508
"new.row.705","22380",1999,66909
"new.row.706","22380",2000,70054
"new.row.707","22380",2001,70371
"new.row.708","22380",2002,71378
"new.row.709","22380",2003,73727
"new.row.710","22380",2004,77953
"new.row.711","22380",2005,80212
"new.row.712","22380",2006,82928
"new.row.713","22380",2007,86446
"new.row.714","22380",2008,85290
"new.row.715","22380",2009,82623
"new.row.716","22380",2010,82751
"new.row.717","22380",2011,81983
"new.row.718","22380",2012,82723
"new.row.719","22380",2013,84725
"new.row.720","29420",1969,8985
"new.row.721","29420",1970,9297
"new.row.722","29420",1971,9969
"new.row.723","29420",1972,10832
"new.row.724","29420",1973,11853
"new.row.725","29420",1974,13269
"new.row.726","29420",1975,13882
"new.row.727","29420",1976,14593
"new.row.728","29420",1977,15773
"new.row.729","29420",1978,17606
"new.row.730","29420",1979,20022
"new.row.731","29420",1980,21285
"new.row.732","29420",1981,21566
"new.row.733","29420",1982,20609
"new.row.734","29420",1983,21081
"new.row.735","29420",1984,23340
"new.row.736","29420",1985,25423
"new.row.737","29420",1986,26881
"new.row.738","29420",1987,29243
"new.row.739","29420",1988,31315
"new.row.740","29420",1989,33410
"new.row.741","29420",1990,36930
"new.row.742","29420",1991,38893
"new.row.743","29420",1992,39206
"new.row.744","29420",1993,40507
"new.row.745","29420",1994,43326
"new.row.746","29420",1995,43977
"new.row.747","29420",1996,46030
"new.row.748","29420",1997,47793
"new.row.749","29420",1998,49398
"new.row.750","29420",1999,51364
"new.row.751","29420",2000,54489
"new.row.752","29420",2001,56336
"new.row.753","29420",2002,58534
"new.row.754","29420",2003,62234
"new.row.755","29420",2004,66452
"new.row.756","29420",2005,71384
"new.row.757","29420",2006,75016
"new.row.758","29420",2007,75035
"new.row.759","29420",2008,69776
"new.row.760","29420",2009,64405
"new.row.761","29420",2010,62857
"new.row.762","29420",2011,62840
"new.row.763","29420",2012,61887
"new.row.764","29420",2013,62859
"new.row.765","38060",1969,433502
"new.row.766","38060",1970,456574
"new.row.767","38060",1971,478419
"new.row.768","38060",1972,522280
"new.row.769","38060",1973,574470
"new.row.770","38060",1974,592448
"new.row.771","38060",1975,573360
"new.row.772","38060",1976,603064
"new.row.773","38060",1977,654968
"new.row.774","38060",1978,728998
"new.row.775","38060",1979,792672
"new.row.776","38060",1980,820853
"new.row.777","38060",1981,843575
"new.row.778","38060",1982,847957
"new.row.779","38060",1983,895053
"new.row.780","38060",1984,988892
"new.row.781","38060",1985,1074363
"new.row.782","38060",1986,1130847
"new.row.783","38060",1987,1175415
"new.row.784","38060",1988,1224682
"new.row.785","38060",1989,1247064
"new.row.786","38060",1990,1266338
"new.row.787","38060",1991,1263249
"new.row.788","38060",1992,1271798
"new.row.789","38060",1993,1328795
"new.row.790","38060",1994,1416403
"new.row.791","38060",1995,1508585
"new.row.792","38060",1996,1614248
"new.row.793","38060",1997,1702231
"new.row.794","38060",1998,1793413
"new.row.795","38060",1999,1860012
"new.row.796","38060",2000,1933698
"new.row.797","38060",2001,1960289
"new.row.798","38060",2002,1974195
"new.row.799","38060",2003,2023506
"new.row.800","38060",2004,2112466
"new.row.801","38060",2005,2249814
"new.row.802","38060",2006,2367648
"new.row.803","38060",2007,2427391
"new.row.804","38060",2008,2396528
"new.row.805","38060",2009,2269054
"new.row.806","38060",2010,2226412
"new.row.807","38060",2011,2284214
"new.row.808","38060",2012,2330285
"new.row.809","38060",2013,2390417
"new.row.810","39140",1969,11706
"new.row.811","39140",1970,12550
"new.row.812","39140",1971,13909
"new.row.813","39140",1972,15086
"new.row.814","39140",1973,16708
"new.row.815","39140",1974,17382
"new.row.816","39140",1975,17370
"new.row.817","39140",1976,18441
"new.row.818","39140",1977,20271
"new.row.819","39140",1978,21755
"new.row.820","39140",1979,23433
"new.row.821","39140",1980,24767
"new.row.822","39140",1981,25230
"new.row.823","39140",1982,25227
"new.row.824","39140",1983,26696
"new.row.825","39140",1984,28552
"new.row.826","39140",1985,31802
"new.row.827","39140",1986,34400
"new.row.828","39140",1987,36621
"new.row.829","39140",1988,38956
"new.row.830","39140",1989,40422
"new.row.831","39140",1990,42267
"new.row.832","39140",1991,44202
"new.row.833","39140",1992,46644
"new.row.834","39140",1993,49463
"new.row.835","39140",1994,55718
"new.row.836","39140",1995,57666
"new.row.837","39140",1996,60672
"new.row.838","39140",1997,64787
"new.row.839","39140",1998,67614
"new.row.840","39140",1999,66760
"new.row.841","39140",2000,70265
"new.row.842","39140",2001,71477
"new.row.843","39140",2002,73645
"new.row.844","39140",2003,76086
"new.row.845","39140",2004,80342
"new.row.846","39140",2005,85630
"new.row.847","39140",2006,91724
"new.row.848","39140",2007,94931
"new.row.849","39140",2008,89016
"new.row.850","39140",2009,83447
"new.row.851","39140",2010,80750
"new.row.852","39140",2011,80197
"new.row.853","39140",2012,81485
"new.row.854","39140",2013,83113
"new.row.855","43420",1969,26468
"new.row.856","43420",1970,26150
"new.row.857","43420",1971,28259
"new.row.858","43420",1972,29255
"new.row.859","43420",1973,30088
"new.row.860","43420",1974,30429
"new.row.861","43420",1975,29245
"new.row.862","43420",1976,29568
"new.row.863","43420",1977,30807
"new.row.864","43420",1978,32605
"new.row.865","43420",1979,32952
"new.row.866","43420",1980,34124
"new.row.867","43420",1981,33576
"new.row.868","43420",1982,33110
