area_code,year,high.tech.occupations,total.jobs,rate
44300,2013,1930,65710,0.029371481
44600,2013,450,40030,0.011241569
44700,2013,1470,202710,0.007251739
44940,2013,260,33690,0.007717424
45060,2013,6780,301060,0.022520428
45104,2013,3010,261560,0.011507876
45220,2013,3730,156530,0.023829298
45300,2013,29140,1151890,0.025297554
45460,2013,580,66520,0.008719182
45500,2013,300,52980,0.005662514
45780,2013,4270,297490,0.014353424
45820,2013,2110,108500,0.019447005
45940,2013,9920,215960,0.045934432
46060,2013,7770,351610,0.022098348
46140,2013,7850,421760,0.018612481
46220,2013,1290,91640,0.014076822
46340,2013,1370,93020,0.014728015
46540,2013,2260,121790,0.018556532
46660,2013,320,49620,0.006449012
46700,2013,1780,122030,0.014586577
47020,2013,220,51080,0.004306969
47220,2013,330,58350,0.005655527
47260,2013,24480,724560,0.033786022
47300,2013,600,133100,0.004507889
47380,2013,1070,102810,0.010407548
47580,2013,2630,56700,0.04638448
47644,2013,36150,1112130,0.032505193
47894,2013,145730,2367240,0.061561143
47900,2013,180410,2929060,0.061593139
47940,2013,790,89450,0.00883175
48140,2013,1240,65330,0.01898056
48300,2013,240,39110,0.006136538
48424,2013,10300,525170,0.019612697
48540,2013,500,62850,0.007955449
48620,2013,8750,284210,0.030787094
48660,2013,220,56010,0.00392787
48700,2013,400,53550,0.007469655
48864,2013,15620,325530,0.047983289
48900,2013,2010,139070,0.014453153
49020,2013,470,53370,0.008806446
49180,2013,3530,205340,0.017191
49420,2013,510,80460,0.006338553
49500,2013,40,10820,0.003696858
49620,2013,2250,173250,0.012987013
49660,2013,2390,218770,0.010924715
49700,2013,140,37190,0.003764453
49740,2013,570,58880,0.009680707
70750,2013,430,63290,0.006794122
70900,2013,1210,97080,0.012463947
71650,2013,147240,2533640,0.058114018
71654,2013,110490,1748940,0.063175409
71950,2013,14140,420170,0.033653045
72104,2013,750,89820,0.008350033
72400,2013,3020,116840,0.025847313
72850,2013,1300,68940,0.018856977
73104,2013,15450,161000,0.095962733
73450,2013,18800,559460,0.033603832
73604,2013,1430,79610,0.017962568
74204,2013,1150,61100,0.018821604
74500,2013,330,46860,0.007042254
74650,2013,370,46730,0.007917826
74804,2013,7130,117190,0.060841369
74950,2013,2330,101090,0.023048768
75404,2013,5390,131800,0.040895296
75550,2013,200,64030,0.003123536
75700,2013,6260,272530,0.022969948
76450,2013,2610,127400,0.020486656
76524,2013,1410,101600,0.013877953
76600,2013,100,33420,0.00299222
76750,2013,4490,197620,0.022720372
76900,2013,1960,56470,0.034708695
77200,2013,13720,541730,0.02532627
77350,2013,620,53730,0.011539177
78100,2013,4770,289710,0.016464741
78254,2013,640,42580,0.015030531
78700,2013,540,63440,0.00851198
79600,2013,7840,245320,0.031958259
100001,2013,310,62850,0.004932379
100002,2013,790,137240,0.005756339
100003,2013,760,126840,0.005991801
100004,2013,1370,83770,0.016354303
200001,2013,450,35370,0.012722646
200002,2013,1320,73870,0.01786923
400001,2013,530,63940,0.008289021
400002,2013,1540,59280,0.025978408
500001,2013,250,77520,0.003224974
500002,2013,500,101090,0.004946088
500003,2013,810,124260,0.00651859
500004,2013,360,68110,0.005285567
600001,2013,180,37820,0.004759387
600003,2013,650,93060,0.006984741
600004,2013,30,27900,0.001075269
600005,2013,710,60960,0.011646982
800001,2013,370,64830,0.005707234
800002,2013,930,102240,0.009096244
800003,2013,410,74980,0.005468125
900001,2013,50,35690,0.001400953
900002,2013,60,26950,0.002226345
1000001,2013,550,70670,0.007782652
1200001,2013,130,55100,0.002359347
1200002,2013,910,139350,0.006530319
1200003,2013,580,97920,0.005923203
1300001,2013,1040,151990,0.006842555
1300002,2013,1160,133410,0.008695
1300003,2013,430,81050,0.005305367
1300004,2013,1570,181960,0.00862827
1500001,2013,1470,160950,0.009133271
1600001,2013,310,45260,0.006849315
1600003,2013,300,72340,0.004147083
1600004,2013,710,48550,0.014624099
1700001,2013,1430,136390,0.01048464
1700002,2013,1680,180460,0.009309542
1700003,2013,600,115130,0.0052115
1700004,2013,1020,142970,0.007134364
1800001,2013,1660,205760,0.008067652
1800002,2013,920,149010,0.006174082
1800003,2013,3200,160700,0.019912881
1900001,2013,840,99860,0.008411776
1900002,2013,1250,146720,0.008519629
1900003,2013,490,85830,0.00570896
1900004,2013,2240,223540,0.010020578
2000001,2013,3720,387270,0.009605701
2100001,2013,1490,147310,0.010114724
2100002,2013,1160,168330,0.006891226
2100003,2013,2070,158080,0.013094636
2100004,2013,870,110080,0.007903343
2200001,2013,270,51050,0.005288932
2200002,2013,620,81310,0.007625138
2200003,2013,230,79780,0.002882928
2200004,2013,880,135050,0.006516105
2300001,2013,460,70640,0.006511891
2300002,2013,2380,190080,0.012521044
2400001,2013,440,68050,0.006465834
2400003,2013,5040,42700,0.118032787
2500003,2013,120,27400,0.004379562
2500004,2013,340,23110,0.014712246
2600001,2013,1000,114920,0.008701706
2600002,2013,270,72190,0.00374013
2600003,2013,950,112280,0.00846099
2600004,2013,3470,288860,0.01201274
2700001,2013,1520,183240,0.008295132
2700002,2013,260,52960,0.004909366
2700003,2013,1160,121260,0.009566221
2700004,2013,1810,172990,0.010463033
2800001,2013,1880,214050,0.008782995
2800002,2013,530,102430,0.005174265
2800003,2013,860,130050,0.006612841
2800004,2013,650,94800,0.00685654
2900001,2013,1170,170400,0.006866197
2900002,2013,560,87070,0.006431607
2900003,2013,1050,153350,0.006847082
2900004,2013,320,69340,0.004614941
3000001,2013,150,35230,0.004257735
3000002,2013,140,37380,0.003745318
3000003,2013,2690,121870,0.0220727
3000004,2013,620,68020,0.009114966
3100001,2013,450,78470,0.005734676
3100002,2013,970,105170,0.009223162
3100003,2013,710,92110,0.007708175
3100004,2013,200,47750,0.004188482
3200001,2013,210,36420,0.005766063
3200002,2013,1450,56680,0.025582216
3300001,2013,210,33710,0.006229605
3300002,2013,1150,97900,0.01174668
3300003,2013,1010,61760,0.016353627
3300004,2013,450,39960,0.011261261
3500001,2013,250,62270,0.004014774
3500002,2013,1200,128890,0.009310265
3500003,2013,330,26470,0.012466944
3500004,2013,290,14900,0.019463087
3600001,2013,1440,184810,0.007791786
3600002,2013,40,32650,0.001225115
3600003,2013,1200,125770,0.009541226
3600004,2013,1930,189440,0.010187922
